,agent0_elephant,agent1_elephant,agent2_elephant
0,0.5395833333333333,0.2979166666666666,0.7010416666666667
1,0.3635416666666666,0.1708333333333333,0.4083333333333333
2,0.6125,0.5947916666666667,0.0
3,0.4354166666666667,0.209375,0.025
4,0.215625,0.059375,0.115625
5,0.1979166666666666,0.2947916666666667,0.0
6,0.4822916666666667,0.3541666666666667,0.1072916666666666
7,0.6604166666666667,0.2010416666666666,0.078125
8,0.3385416666666667,0.6375,0.240625
9,0.3552083333333333,0.5729166666666666,0.2375
