elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
036,695,510,510,313,059,239,756,021,789,940
080,069,849,911,202,057,366,445,313,859,432
110,683,403,313,262,555,977,969,386,676,844
640,699,569,816,961,017,376,331,366,894,992
014,558,555,849,239,009,588,494,782,681,470
270,663,184,007,366,021,217,691,510,732,52
121,873,955,045,021,005,276,511,982,929,294
050,572,550,889,977,087,877,044,477,255,571
116,258,303,639,386,417,439,663,403,651,541
148,646,639,325,009,006,791,955,955,641,454
