,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo
0,0.0138888888888888,0.0555555555555555,0.0
1,0.0277777777777777,0.0,0.125
2,0.0,0.0138888888888888,0.0416666666666666
3,0.0416666666666666,0.0,0.0
4,0.0416666666666666,0.1388888888888889,0.0277777777777777
5,0.0138888888888888,0.0138888888888888,0.0138888888888888
6,0.0277777777777777,0.1388888888888889,0.0277777777777777
7,0.0138888888888888,0.0138888888888888,0.0277777777777777
8,0.0,0.0555555555555555,0.0277777777777777
9,0.0416666666666666,0.0138888888888888,0.041666666666666664
