,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,-2.640625,-6.53125,-6.2578125,-5.55078125,-4.65234375,-5.19921875
1,-3.322265625,-5.92578125,-5.3125,-5.2890625,-6.015625,-5.7734375
