,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-2.169921875,-2.916015625,-2.419921875,-5.34375,-8.234375,-8.3984375
1,-2.763671875,-3.26171875,-2.837890625,-8.0859375,-8.1796875,-8.1171875
2,-2.326171875,-5.2578125,-7.59375,-7.671875,-7.70703125,-7.3828125
3,-2.720703125,-5.55859375,-7.8125,-6.984375,-7.69921875,-7.14453125
4,-2.373046875,-3.79296875,-6.41015625,-6.91796875,-4.8671875,-8.15625
5,-2.310546875,-2.935546875,-6.88671875,-7.9375,-8.6953125,-7.62109375
6,-2.255859375,-2.201171875,-7.1875,-8.203125,-8.0859375,-7.1875
7,-2.041015625,-2.951171875,-2.859375,-2.833984375,-6.984375,-7.06640625
8,-2.25,-3.28515625,-5.0078125,-3.443359375,-4.61328125,-6.7421875
9,-2.32421875,-7.6953125,-8.140625,-8.140625,-8.0625,-7.8046875
10,-2.33984375,-3.09375,-3.2734375,-3.7734375,-6.41015625,-6.7109375
11,-2.23828125,-2.916015625,-3.1953125,-5.79296875,-7.5625,-6.8984375
12,-2.10546875,-2.658203125,-2.2734375,-1.8525390625,-2.419921875,-5.62890625
13,-1.9267578125,-4.5390625,-5.1875,-7.21484375,-7.90234375,-6.1328125
14,-2.296875,-4.87890625,-7.29296875,-7.82421875,-8.046875,-6.67578125
15,-1.7861328125,-5.84375,-6.51171875,-7.27734375,-7.26171875,-7.1484375
16,-2.62890625,-3.484375,-3.3359375,-4.25,-8.125,-7.4140625
17,-2.673828125,-7.53125,-8.8359375,-8.8359375,-8.203125,-7.82421875
18,-1.87890625,-7.734375,-8.203125,-8.203125,-8.0625,-7.44921875
19,-1.740234375,-2.498046875,-3.53125,-3.87109375,-5.68359375,-8.8515625
