,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,0.0729166666666666,0.0260416666666666,0.0052083333333333,0.0052083333333333,0.0,0.0
1,0.0364583333333333,0.1354166666666666,0.0,0.0,0.0,0.0
2,0.09375,0.0625,0.0,0.0,0.0,0.0
3,0.03125,0.046875,0.0833333333333333,0.0052083333333333,0.0,0.0
4,0.0729166666666666,0.078125,0.046875,0.0,0.0,0.0052083333333333
5,0.09375,0.0,0.0,0.0,0.0,0.0
6,0.03125,0.0260416666666666,0.0,0.0677083333333333,0.0052083333333333,0.0
7,0.03125,0.0,0.0,0.0,0.0,0.0
8,0.0677083333333333,0.0104166666666666,0.21875,0.0052083333333333,0.0,0.0
9,0.171875,0.0104166666666666,0.03125,0.0,0.0,0.0052083333333333
10,0.25,0.21875,0.0,0.0,0.0052083333333333,0.0
11,0.0572916666666666,0.0989583333333333,0.0364583333333333,0.0,0.0,0.0
12,0.0677083333333333,0.3333333333333333,0.5260416666666666,0.0052083333333333,0.0,0.0
13,0.0520833333333333,0.0,0.0,0.0,0.0052083333333333,0.0
14,0.078125,0.0,0.0,0.0,0.0,0.0
15,0.09375,0.3229166666666667,0.0,0.0,0.0,0.0
16,0.0989583333333333,0.0677083333333333,0.015625,0.0,0.0,0.0052083333333333
17,0.125,0.1041666666666666,0.2864583333333333,0.0572916666666666,0.03125,0.0625
18,0.046875,0.0364583333333333,0.015625,0.0,0.0,0.0
19,0.0989583333333333,0.2604166666666667,0.5833333333333334,0.0104166666666666,0.0,0.0
