,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-3.763671875,-4.765625,-4.76953125,-7.39453125,-7.328125,-6.859375
1,-3.76953125,-4.65625,-6.3203125,-7.2578125,-8.4453125,-7.9453125
2,-3.783203125,-5.00390625,-7.2265625,-5.7890625,-7.58984375,-7.01171875
3,-3.724609375,-4.1484375,-3.7421875,-4.15234375,-6.015625,-7.3203125
4,-3.287109375,-5.1171875,-5.34765625,-7.78125,-7.77734375,-6.51953125
5,-3.619140625,-6.2109375,-7.6796875,-7.6796875,-7.6796875,-7.17578125
6,-3.880859375,-5.90625,-5.76171875,-5.35546875,-6.796875,-7.46484375
7,-3.955078125,-5.63671875,-7.21484375,-7.08203125,-7.109375,-7.0546875
8,-3.97265625,-5.4765625,-6.015625,-7.5078125,-7.66796875,-6.0625
9,-3.33984375,-3.521484375,-5.8671875,-6.26171875,-6.8515625,-7.27734375
10,-4.0625,-3.990234375,-5.09375,-6.98828125,-6.875,-7.71484375
11,-3.298828125,-3.453125,-5.66015625,-7.37109375,-8.375,-8.4921875
12,-4.1484375,-4.6171875,-5.4140625,-5.40234375,-6.6484375,-9.890625
13,-4.08984375,-5.87109375,-4.859375,-6.6484375,-6.65625,-6.4921875
14,-3.7734375,-6.1953125,-7.44921875,-7.40625,-7.40625,-7.328125
15,-3.490234375,-4.67578125,-5.9609375,-7.15234375,-5.734375,-7.36328125
16,-3.615234375,-4.4921875,-4.640625,-5.29296875,-6.96875,-6.30859375
17,-3.263671875,-5.8671875,-4.82421875,-4.87109375,-5.8515625,-5.8125
18,-3.5625,-4.671875,-7.1171875,-7.28515625,-8.8046875,-9.8203125
19,-3.42578125,-5.234375,-5.23828125,-5.06640625,-7.5390625,-8.0234375
