elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
011,198,889,731,221,555,719,601,000,409,947
110,268,938,007,169,537,705,636,216,877,433
019,494,959,407,219,000,973,855,125,348,846
045,701,907,733,293,055,199,280,990,904,470
120,922,736,735,215,092,599,873,955,811,50
003,926,201,666,323,509,219,992,877,892,295
600,844,404,367,199,005,179,693,365,673,570
083,836,555,710,983,018,547,867,410,863,541
030,068,985,711,321,469,559,904,555,723,453
640,480,469,887,555,099,217,598,169,608,876
