,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-6.046875,-5.44140625,-5.36328125,-5.64453125,-5.5703125,-5.78515625
1,-6.9296875,-7.5390625,-7.34765625,-8.2578125,-8.1328125,-7.91015625
2,-6.80078125,-6.33984375,-5.12109375,-6.30078125,-7.0234375,-6.33203125
3,-6.984375,-5.09375,-4.87109375,-5.9921875,-6.39453125,-6.44140625
4,-7.01171875,-6.08984375,-5.359375,-6.15625,-6.4296875,-6.2265625
5,-6.90625,-4.83203125,-4.203125,-5.54296875,-6.42578125,-5.84375
6,-6.31640625,-5.015625,-5.62890625,-6.98828125,-6.1640625,-7.49609375
7,-6.2734375,-5.40625,-5.34765625,-6.0078125,-6.09375,-5.87890625
8,-7.7578125,-6.65625,-5.05859375,-5.54296875,-5.8359375,-5.84765625
9,-6.71484375,-5.85546875,-5.7109375,-6.42578125,-5.62109375,-6.01953125
10,-7.32421875,-7.80859375,-6.79296875,-6.55859375,-6.4140625,-7.2265625
11,-7.203125,-5.8515625,-4.515625,-5.28515625,-6.2109375,-6.3515625
12,-7.23828125,-6.6796875,-5.1015625,-6.12890625,-6.45703125,-5.671875
13,-6.31640625,-5.796875,-5.09765625,-6.33203125,-6.22265625,-5.7421875
14,-6.8515625,-5.296875,-5.94140625,-6.05078125,-6.3828125,-6.62109375
15,-6.72265625,-6.09375,-6.76171875,-6.76953125,-6.16015625,-5.97265625
16,-6.4609375,-5.8515625,-7.05859375,-6.81640625,-6.6875,-6.49609375
17,-7.4140625,-6.3046875,-6.546875,-7.01953125,-6.0546875,-5.97265625
18,-6.80859375,-5.5625,-6.43359375,-6.72265625,-6.46484375,-5.88671875
19,-6.0859375,-5.921875,-6.81640625,-6.46484375,-6.5703125,-8.4453125
