,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-6.17578125,-4.9296875,-5.59765625,-6.4609375,-6.7109375,-6.2109375
1,-6.375,-5.3828125,-7.54296875,-5.50390625,-6.203125,-5.65234375
2,-6.46875,-6.05859375,-5.3671875,-5.625,-6.2890625,-6.171875
3,-6.41015625,-5.859375,-6.00390625,-5.01953125,-6.85546875,-6.84375
4,-6.26171875,-5.94921875,-6.0625,-6.83203125,-5.21484375,-5.46875
5,-6.33203125,-5.87890625,-6.6015625,-6.55859375,-7.08984375,-6.6328125
6,-6.39453125,-6.328125,-6.09765625,-6.56640625,-6.375,-6.34375
7,-6.08203125,-7.2265625,-6.19140625,-5.89453125,-7.1171875,-6.72265625
8,-6.19921875,-6.234375,-6.6796875,-8.484375,-8.125,-8.9921875
9,-6.23046875,-6.1796875,-6.02734375,-6.421875,-4.9921875,-7.74609375
10,-6.13671875,-6.17578125,-5.5625,-6.140625,-6.03515625,-6.66796875
11,-6.1875,-5.3359375,-6.484375,-5.875,-7.11328125,-5.765625
12,-7.23046875,-5.453125,-5.88671875,-5.26953125,-5.23046875,-5.91015625
13,-6.390625,-5.76953125,-6.18359375,-6.453125,-5.765625,-4.8828125
14,-6.71875,-6.46484375,-5.98828125,-6.640625,-6.7109375,-5.49609375
15,-5.9375,-6.27734375,-5.18359375,-6.76171875,-7.12890625,-7.07421875
16,-6.2890625,-5.6953125,-5.52734375,-5.828125,-5.3515625,-7.6171875
17,-6.1796875,-6.7421875,-5.671875,-6.34765625,-6.44140625,-6.3828125
18,-6.6875,-6.765625,-5.62890625,-5.6484375,-5.6484375,-6.27734375
19,-6.4765625,-6.27734375,-6.05859375,-6.203125,-6.11328125,-5.14453125
