,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-6.00390625,-5.12890625,-5.1015625,-6.0390625,-6.04296875,-6.2109375
1,-6.55859375,-5.40234375,-6.25,-5.83984375,-6.15234375,-5.65234375
2,-8.046875,-6.2890625,-5.7890625,-5.9765625,-6.390625,-6.171875
3,-6.75,-6.0390625,-5.65625,-5.40234375,-6.33203125,-6.84375
4,-6.39453125,-5.96875,-5.72265625,-6.828125,-5.37109375,-5.46875
5,-6.4921875,-6.140625,-6.73828125,-6.70703125,-7.09765625,-6.6328125
6,-6.66015625,-6.44140625,-5.98046875,-7.27734375,-7.0625,-6.34375
7,-6.26953125,-7.3359375,-6.234375,-5.94140625,-6.7421875,-6.72265625
8,-10.5078125,-7.73046875,-8.171875,-9.125,-8.1953125,-8.9921875
9,-8.765625,-6.671875,-5.35546875,-5.5390625,-5.359375,-7.74609375
10,-6.4921875,-6.7734375,-6.0703125,-6.45703125,-5.828125,-6.66796875
11,-6.8046875,-4.8828125,-5.55859375,-5.39453125,-7.1484375,-5.765625
12,-6.77734375,-5.2109375,-5.3984375,-4.98828125,-5.18359375,-5.91015625
13,-5.9296875,-5.484375,-6.04296875,-5.5390625,-5.46875,-4.8828125
14,-6.6640625,-6.44140625,-5.6796875,-6.15234375,-7.8359375,-5.49609375
15,-7.015625,-6.703125,-5.6328125,-6.95703125,-7.203125,-7.07421875
16,-7.03515625,-6.078125,-5.515625,-5.69921875,-5.37109375,-7.6171875
17,-6.40625,-6.40234375,-5.26953125,-6.34765625,-6.171875,-6.3828125
18,-6.89453125,-6.4765625,-5.47265625,-5.5078125,-5.8125,-6.27734375
19,-6.546875,-5.90625,-5.77734375,-5.984375,-6.11328125,-5.14453125
