elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
55,11,27,33,20,86,22,6,84,36,74
60,3,86,63,22,52,23,54,9,81,89
53,5,88,60,28,9,37,16,22,1,66
81,6,0,35,90,79,38,3,94,18,59
54,0,10,53,0,26,34,24,90,82,41
61,4,72,44,24,94,26,21,92,84,8
50,7,57,65,23,6,20,39,14,28,2
51,16,17,40,6,51,36,15,20,9,43
56,96,3,56,30,69,18,26,24,32,29
70,42,85,45,17,76,90,27,4,4,12
