,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-2.92578125,-3.431640625,-2.78125,-4.4609375,-5.00390625,-4.3046875
1,-3.751953125,-4.8046875,-5.0078125,-4.38671875,-6.30859375,-5.62890625
2,-3.7421875,-3.794921875,-4.51171875,-7.09765625,-7.73046875,-7.703125
3,-3.310546875,-3.51171875,-6.5390625,-7.5,-7.125,-7.703125
4,-2.642578125,-4.63671875,-3.6796875,-7.38671875,-7.875,-7.13671875
5,-3.373046875,-4.07421875,-3.578125,-6.56640625,-5.59765625,-6.859375
6,-3.623046875,-5.19140625,-7.46875,-7.953125,-8.328125,-7.69140625
7,-3.103515625,-3.06640625,-3.30078125,-4.875,-6.63671875,-6.6484375
8,-3.298828125,-4.59375,-3.13671875,-6.01953125,-8.109375,-7.74609375
9,-3.9765625,-5.6796875,-6.41796875,-7.83203125,-8.40625,-8.5
10,-3.779296875,-4.3359375,-4.98046875,-7.02734375,-7.59765625,-7.06640625
11,-3.271484375,-4.984375,-4.90625,-4.3828125,-8.6953125,-10.4375
12,-3.32421875,-3.310546875,-4.16015625,-4.52734375,-7.4765625,-7.53515625
13,-4.17578125,-3.0703125,-3.50390625,-4.04296875,-6.046875,-5.79296875
14,-2.7734375,-4.38671875,-7.0703125,-7.00390625,-5.59375,-5.84375
15,-3.515625,-3.43359375,-7.77734375,-7.6875,-7.7734375,-7.36328125
16,-3.11328125,-3.775390625,-4.21875,-3.92578125,-5.671875,-7.01171875
17,-2.740234375,-5.7890625,-7.296875,-7.86328125,-7.26171875,-6.4140625
18,-3.2734375,-3.984375,-6.79296875,-6.70703125,-9.140625,-7.859375
19,-2.818359375,-5.15234375,-5.39453125,-4.80859375,-7.7421875,-7.72265625
