,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-3.640625,-3.671875,-5.0390625,-4.89453125,-6.38671875,-6.86328125
1,-4.06640625,-4.18359375,-6.734375,-6.8515625,-6.984375,-6.87890625
2,-4.16015625,-3.462890625,-5.65625,-5.0859375,-5.484375,-6.96484375
3,-3.0,-3.873046875,-4.828125,-6.80859375,-6.734375,-7.01171875
4,-3.697265625,-5.0703125,-6.1640625,-7.421875,-6.88671875,-5.9609375
5,-4.20703125,-4.24609375,-6.0078125,-6.1484375,-6.16015625,-6.33203125
6,-4.2109375,-4.19140625,-4.359375,-5.953125,-6.48828125,-6.484375
7,-3.19140625,-4.42578125,-5.69921875,-5.97265625,-5.453125,-5.23046875
8,-4.11328125,-5.91796875,-7.03125,-7.34765625,-7.703125,-8.2109375
9,-4.39453125,-4.5,-6.67578125,-6.83984375,-6.6953125,-6.24609375
10,-4.33203125,-4.6796875,-4.26953125,-4.69140625,-4.19921875,-5.921875
11,-3.90625,-4.734375,-5.40625,-6.33203125,-6.98046875,-7.16015625
12,-3.962890625,-4.4453125,-6.625,-6.8828125,-7.109375,-6.85546875
13,-3.90234375,-4.80078125,-6.14453125,-6.6796875,-6.66015625,-6.16015625
14,-3.6484375,-5.03515625,-5.91015625,-5.30078125,-5.55078125,-6.37109375
15,-4.3671875,-3.849609375,-5.40625,-4.8203125,-5.3125,-5.94140625
16,-2.556640625,-3.083984375,-4.19921875,-5.53515625,-5.48828125,-5.703125
17,-3.3671875,-5.6015625,-7.296875,-7.421875,-7.4140625,-7.61328125
18,-4.046875,-5.25390625,-6.48828125,-6.796875,-6.50390625,-5.50390625
19,-3.59375,-2.89453125,-4.5859375,-6.08984375,-6.703125,-6.58984375
