elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
423,407,428,541,541,392,541,541,426,291,932
753,820,426,007,727,398,753,747,871,271,420
150,600,782,911,398,426,694,753,804,574,840
448,838,294,398,291,599,398,451,174,262,979
426,623,771,753,719,428,719,271,230,129,463
154,788,527,786,426,694,426,631,231,142,42
911,383,520,599,694,214,727,391,584,566,280
190,908,712,719,631,493,599,555,771,377,563
694,828,329,857,702,455,142,538,568,166,533
450,638,130,357,142,871,347,539,274,857,443
