,agent0_elephant,agent0_dolphin,agent0_panda,agent0_lion,agent0_kangaroo,agent0_penguin,agent0_giraffe,agent0_chimpanzee,agent0_koala,agent0_orangutan,agent1_elephant,agent1_dolphin,agent1_panda,agent1_lion,agent1_kangaroo,agent1_penguin,agent1_giraffe,agent1_chimpanzee,agent1_koala,agent1_orangutan,agent2_elephant,agent2_dolphin,agent2_panda,agent2_lion,agent2_kangaroo,agent2_penguin,agent2_giraffe,agent2_chimpanzee,agent2_koala,agent2_orangutan,agent3_elephant,agent3_dolphin,agent3_panda,agent3_lion,agent3_kangaroo,agent3_penguin,agent3_giraffe,agent3_chimpanzee,agent3_koala,agent3_orangutan,agent4_elephant,agent4_dolphin,agent4_panda,agent4_lion,agent4_kangaroo,agent4_penguin,agent4_giraffe,agent4_chimpanzee,agent4_koala,agent4_orangutan,agent5_elephant,agent5_dolphin,agent5_panda,agent5_lion,agent5_kangaroo,agent5_penguin,agent5_giraffe,agent5_chimpanzee,agent5_koala,agent5_orangutan
10,-3.662109375,-4.82421875,-5.94140625,-6.69921875,-3.677734375,-3.21484375,-0.474365234375,-7.31640625,-5.99609375,-7.66015625,-1.888671875,-0.372802734375,-5.93359375,-6.73828125,-5.24609375,-6.96484375,-3.091796875,-6.17578125,-6.80859375,-6.64453125,-2.931640625,-0.260498046875,-5.69140625,-7.49609375,-4.80078125,-7.87109375,-3.306640625,-6.35546875,-7.06640625,-6.87109375,-2.3359375,-0.414794921875,-5.4296875,-6.6171875,-4.9375,-6.8046875,-2.6953125,-5.96875,-6.0546875,-6.03125,-2.484375,-0.84375,-4.515625,-6.5,-5.1953125,-5.484375,-2.296875,-6.0078125,-5.21875,-5.84375,-2.765625,-0.453369140625,-5.1640625,-6.765625,-5.8515625,-6.3984375,-3.2890625,-6.2734375,-6.4453125,-6.375
11,-2.345703125,-3.900390625,-5.84375,-6.5078125,-3.212890625,-2.783203125,-0.751953125,-6.8671875,-5.2890625,-7.1328125,-3.5859375,-1.7890625,-7.5625,-8.109375,-7.6171875,-8.5078125,-3.3984375,-6.9296875,-6.46875,-5.4921875,-2.765625,-0.485107421875,-7.1328125,-7.921875,-7.6953125,-9.53125,-4.0390625,-6.78125,-7.171875,-5.9296875,-2.478515625,-0.4013671875,-6.94140625,-7.55859375,-7.66015625,-9.796875,-3.986328125,-6.53515625,-7.14453125,-6.05078125,-2.228515625,-0.27587890625,-6.66015625,-7.11328125,-7.76171875,-8.53125,-4.82421875,-6.18359375,-7.94921875,-7.19921875,-2.630859375,-0.318115234375,-6.35546875,-7.81640625,-7.12890625,-6.94921875,-5.43359375,-6.77734375,-8.2265625,-8.0078125
12,-2.673828125,-3.892578125,-5.05859375,-6.96484375,-3.056640625,-2.1328125,-1.2607421875,-7.30078125,-4.56640625,-7.86328125,-1.0390625,-0.7734375,-6.578125,-6.0390625,-7.1953125,-8.421875,-2.6953125,-5.3671875,-7.5390625,-5.8359375,-1.994140625,-0.478515625,-5.97265625,-6.39453125,-6.70703125,-7.34375,-3.134765625,-5.78515625,-6.60546875,-5.87109375,-2.740234375,-0.146728515625,-6.734375,-8.3671875,-7.96875,-8.3828125,-5.359375,-6.96875,-8.6953125,-8.234375,-2.8828125,-0.1324462890625,-6.6640625,-7.8046875,-7.6875,-8.5546875,-5.25,-7.0234375,-8.5,-7.8828125,-2.1640625,-0.3515625,-6.40625,-7.5078125,-7.0390625,-7.09375,-4.7890625,-6.515625,-7.53125,-7.015625
13,-2.349609375,-3.513671875,-5.296875,-6.8671875,-2.943359375,-2.666015625,-0.8193359375,-7.1171875,-4.5546875,-6.828125,-2.6171875,-1.8203125,-5.7890625,-7.7109375,-5.453125,-7.64453125,-1.7578125,-6.5546875,-4.28125,-5.578125,-2.6640625,-0.8671875,-6.34375,-7.734375,-6.546875,-8.953125,-2.8984375,-6.6796875,-5.8828125,-5.8125,-1.8134765625,-0.50048828125,-6.515625,-7.125,-6.71875,-8.2734375,-3.625,-6.7265625,-6.7734375,-6.484375,-2.015625,-0.390380859375,-6.2421875,-7.5859375,-6.546875,-8.484375,-4.28125,-6.7734375,-6.90625,-6.9921875,-2.58203125,-0.48779296875,-6.38671875,-7.86328125,-7.19140625,-8.9375,-4.18359375,-6.80078125,-6.87890625,-7.10546875
14,-3.033203125,-4.3203125,-5.453125,-7.328125,-2.869140625,-2.17578125,-0.81396484375,-7.2890625,-4.6171875,-7.5546875,-3.435546875,-1.3583984375,-6.546875,-8.0625,-7.140625,-8.2265625,-3.888671875,-7.046875,-6.0234375,-5.8359375,-2.701171875,-0.513671875,-7.01953125,-7.83203125,-7.51171875,-9.640625,-3.849609375,-6.66796875,-7.20703125,-5.95703125,-2.91015625,-0.394775390625,-6.18359375,-7.62109375,-7.35546875,-7.32421875,-5.26953125,-6.51171875,-7.94140625,-7.59765625,-2.94140625,-0.268798828125,-6.47265625,-7.52734375,-7.33984375,-7.72265625,-4.97265625,-6.57421875,-8.2109375,-7.64453125,-2.421875,-0.28125,-6.0234375,-7.3125,-7.6171875,-7.65625,-4.65625,-6.5625,-7.65625,-6.9609375
15,-3.349609375,-4.6796875,-5.4609375,-6.5625,-3.357421875,-2.056640625,-0.45947265625,-7.1328125,-5.33984375,-7.9296875,-2.880859375,-1.6630859375,-6.4140625,-8.0703125,-5.9921875,-7.1796875,-2.4140625,-6.515625,-5.5234375,-6.4765625,-3.59765625,-1.61328125,-7.18359375,-8.046875,-7.25390625,-9.625,-4.35546875,-7.76171875,-6.55859375,-6.44921875,-3.248046875,-1.154296875,-7.3671875,-8.515625,-7.390625,-10.0,-4.0234375,-7.53125,-6.890625,-6.3671875,-3.248046875,-1.154296875,-7.3671875,-8.515625,-7.390625,-10.0,-4.0234375,-7.53125,-6.890625,-6.3671875,-3.158203125,-1.626953125,-7.6640625,-8.0390625,-7.5703125,-9.9765625,-3.900390625,-7.4453125,-7.03125,-6.921875
16,-3.212890625,-4.265625,-4.953125,-6.25,-2.720703125,-2.04296875,-0.720703125,-7.1953125,-4.6328125,-8.1640625,-1.595703125,-2.392578125,-5.2421875,-6.5390625,-4.4765625,-4.125,-0.62646484375,-6.3125,-5.1484375,-6.8828125,-1.505859375,-2.099609375,-5.9375,-6.59375,-4.7421875,-6.35546875,-0.771484375,-5.8203125,-5.1875,-5.1796875,-3.078125,-0.9365234375,-6.625,-7.6484375,-6.84375,-8.6640625,-3.4921875,-6.6328125,-6.171875,-5.8984375,-2.615234375,-0.5517578125,-6.87890625,-7.72265625,-7.25390625,-9.7109375,-3.888671875,-6.55859375,-6.98046875,-6.12109375,-2.65625,-0.6103515625,-7.1015625,-7.6484375,-7.3515625,-9.609375,-3.734375,-6.640625,-7.1015625,-6.703125
17,-3.01953125,-4.60546875,-5.47265625,-6.71484375,-2.95703125,-2.5703125,-0.6767578125,-7.09765625,-5.16796875,-7.68359375,-2.14453125,-0.2841796875,-6.51953125,-7.39453125,-7.12109375,-7.94140625,-4.80859375,-6.19921875,-7.96484375,-7.58984375,-1.9111328125,-0.332763671875,-5.89453125,-6.91015625,-6.98828125,-7.85546875,-4.35546875,-5.95703125,-8.03125,-7.58984375,-0.67236328125,-1.109375,-4.4921875,-5.0546875,-5.3671875,-6.8828125,-2.640625,-5.46875,-7.1015625,-8.0234375,-1.2236328125,-1.6455078125,-5.62109375,-5.81640625,-5.34765625,-6.6015625,-1.0361328125,-5.19921875,-6.33203125,-5.12109375,-2.041015625,-0.90087890625,-6.02734375,-7.08984375,-6.09765625,-7.53515625,-2.587890625,-6.15234375,-5.49609375,-5.89453125
18,-2.59375,-4.46875,-5.328125,-6.8046875,-3.46875,-2.30078125,-0.4541015625,-7.1328125,-5.2890625,-7.6875,-2.765625,-0.6015625,-6.0703125,-7.28125,-6.1953125,-7.1953125,-2.859375,-5.828125,-6.0625,-5.6171875,-2.50390625,-0.253173828125,-6.04296875,-7.99609375,-7.03515625,-7.34765625,-4.63671875,-6.30859375,-7.41796875,-6.98828125,-3.41015625,-0.11395263671875,-7.23828125,-8.75,-8.5546875,-9.65625,-6.19140625,-7.19921875,-9.1171875,-7.68359375,-3.41015625,-0.11407470703125,-7.23828125,-8.71875,-8.5390625,-9.71875,-6.15234375,-7.17578125,-9.0703125,-7.65234375,-3.0546875,-0.179443359375,-6.6875,-8.234375,-7.7890625,-7.9453125,-5.671875,-6.90625,-8.3203125,-7.421875
19,-3.115234375,-4.6484375,-5.7890625,-7.1796875,-3.349609375,-2.93359375,-0.4365234375,-7.328125,-5.0390625,-7.2578125,-3.376953125,-2.048828125,-7.2734375,-7.796875,-6.78125,-8.7578125,-3.564453125,-7.6484375,-6.03125,-6.203125,-2.587890625,-0.68115234375,-6.9296875,-7.7890625,-7.12890625,-9.6328125,-3.982421875,-6.91015625,-6.72265625,-6.05859375,-2.587890625,-0.68115234375,-6.9296875,-7.7890625,-7.12890625,-9.6328125,-3.982421875,-6.91015625,-6.72265625,-6.05859375,-2.4921875,-0.6337890625,-6.8359375,-7.8203125,-7.171875,-9.765625,-3.9296875,-6.7109375,-6.78125,-5.8125,-2.431640625,-0.9951171875,-6.78515625,-7.38671875,-6.97265625,-8.65625,-3.470703125,-6.73046875,-6.17578125,-6.36328125
