,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,0.140625,0.0572916666666666,0.1041666666666666,0.3125,0.328125,0.0260416666666666
1,0.0885416666666666,0.125,0.0989583333333333,0.109375,0.234375,0.046875
2,0.09375,0.2447916666666666,0.140625,0.1302083333333333,0.0885416666666666,0.0364583333333333
3,0.2447916666666666,0.1145833333333333,0.109375,0.2135416666666666,0.0885416666666666,0.0677083333333333
4,0.0833333333333333,0.078125,0.140625,0.0520833333333333,0.1354166666666666,0.1510416666666666
5,0.1145833333333333,0.109375,0.3333333333333333,0.265625,0.53125,0.1041666666666666
6,0.15625,0.1041666666666666,0.0729166666666666,0.5052083333333334,0.0729166666666666,0.125
7,0.15625,0.2552083333333333,0.1614583333333333,0.1510416666666666,0.0833333333333333,0.40625
8,0.0833333333333333,0.1197916666666666,0.140625,0.0729166666666666,0.1666666666666666,0.046875
9,0.140625,0.015625,0.0416666666666666,0.375,0.203125,0.1510416666666666
10,0.21875,0.078125,0.0208333333333333,0.0052083333333333,0.0677083333333333,0.03125
11,0.0729166666666666,0.0625,0.0625,0.0677083333333333,0.0416666666666666,0.09375
12,0.1822916666666666,0.2135416666666666,0.0885416666666666,0.2395833333333333,0.109375,0.1041666666666666
13,0.1354166666666666,0.0572916666666666,0.0625,0.0885416666666666,0.1041666666666666,0.0520833333333333
14,0.125,0.0833333333333333,0.2447916666666666,0.0885416666666666,0.15625,0.015625
15,0.0520833333333333,0.109375,0.109375,0.0989583333333333,0.0989583333333333,0.0833333333333333
16,0.0885416666666666,0.0520833333333333,0.1510416666666666,0.1666666666666666,0.0989583333333333,0.1041666666666666
17,0.1197916666666666,0.0520833333333333,0.15625,0.125,0.2395833333333333,0.0833333333333333
18,0.1197916666666666,0.1458333333333333,0.1927083333333333,0.1302083333333333,0.21875,0.0364583333333333
19,0.0833333333333333,0.078125,0.03125,0.0572916666666666,0.0885416666666666,0.046875
