,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-2.625,-5.2890625,-6.1484375,-6.734375,-7.95703125,-7.89453125
1,-2.9453125,-4.9296875,-4.85546875,-6.85546875,-6.49609375,-7.48046875
2,-3.244140625,-7.625,-8.625,-7.76171875,-7.76171875,-8.4296875
3,-2.689453125,-5.33203125,-5.3828125,-4.90625,-4.953125,-5.82421875
4,-2.669921875,-5.39453125,-3.880859375,-4.43359375,-3.80078125,-6.171875
5,-2.912109375,-5.44140625,-4.73828125,-6.7421875,-7.34375,-6.93359375
6,-2.75390625,-6.18359375,-6.953125,-6.4140625,-6.4140625,-6.33203125
7,-3.505859375,-5.2890625,-5.62109375,-6.83984375,-7.32421875,-6.96484375
8,-2.4140625,-4.69140625,-8.3125,-7.47265625,-7.47265625,-7.58203125
9,-3.1953125,-5.09765625,-5.0859375,-5.74609375,-5.5078125,-5.32421875
10,-3.646484375,-5.484375,-5.79296875,-4.0546875,-5.21875,-6.73828125
11,-3.94140625,-5.6875,-5.50390625,-5.19140625,-5.79296875,-4.5390625
12,-3.5390625,-5.7734375,-5.53125,-5.04296875,-5.671875,-8.6015625
13,-2.685546875,-3.884765625,-7.41015625,-8.3125,-7.6015625,-7.8828125
14,-3.654296875,-5.21875,-5.7578125,-5.69140625,-5.3515625,-5.3828125
15,-3.58984375,-7.23046875,-7.69140625,-7.77734375,-7.8046875,-8.359375
16,-3.21484375,-4.47265625,-4.69140625,-5.546875,-6.76953125,-5.50390625
17,-2.810546875,-4.55078125,-6.35546875,-7.71484375,-7.58203125,-7.30078125
18,-3.51171875,-4.625,-5.76953125,-6.65234375,-5.09765625,-6.76171875
19,-4.171875,-7.14453125,-7.12890625,-7.20703125,-7.20703125,-7.296875
