,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-2.970703125,-5.76171875,-7.125,-7.1640625,-7.23046875,-7.7421875
1,-3.224609375,-3.234375,-6.55859375,-7.66796875,-8.5078125,-7.8203125
2,-3.068359375,-6.9609375,-8.875,-8.875,-8.875,-8.3984375
3,-3.08984375,-5.171875,-3.720703125,-4.328125,-5.625,-4.7421875
4,-3.26953125,-2.755859375,-3.20703125,-4.80078125,-6.4921875,-6.41015625
5,-3.392578125,-4.04296875,-5.69921875,-6.8984375,-6.8828125,-6.6796875
6,-3.041015625,-5.6484375,-5.3203125,-5.359375,-7.21484375,-6.3203125
7,-3.072265625,-3.6015625,-3.369140625,-6.09765625,-7.8671875,-9.1640625
8,-3.484375,-2.328125,-2.09375,-7.359375,-7.421875,-6.890625
9,-2.837890625,-4.34765625,-6.59375,-6.640625,-6.00390625,-5.8203125
10,-3.556640625,-6.7890625,-8.3984375,-8.03125,-7.89453125,-8.46875
11,-3.62890625,-4.25,-3.72265625,-5.4375,-6.41015625,-6.1484375
12,-3.47265625,-4.8984375,-6.8984375,-6.265625,-6.65625,-6.15234375
13,-3.330078125,-4.55078125,-5.69921875,-5.9921875,-7.67578125,-7.90234375
14,-2.904296875,-3.958984375,-2.794921875,-5.984375,-8.3359375,-7.5078125
15,-3.115234375,-2.818359375,-5.49609375,-7.24609375,-7.296875,-7.56640625
16,-2.94140625,-3.50390625,-6.74609375,-8.53125,-8.53125,-7.87890625
17,-3.345703125,-3.498046875,-3.802734375,-5.96484375,-8.0703125,-8.453125
18,-3.673828125,-2.90234375,-6.4375,-7.125,-7.203125,-6.01171875
19,-3.400390625,-2.701171875,-5.421875,-6.94140625,-6.37109375,-8.5390625
