,agent0_elephant,agent1_elephant,agent2_elephant
0,0.375,0.3541666666666667,0.0416666666666666
1,0.2291666666666666,0.5416666666666666,0.15625
2,0.09375,0.5,0.0208333333333333
3,0.1041666666666666,0.4270833333333333,0.2395833333333333
4,0.2083333333333333,0.5208333333333334,0.2395833333333333
5,0.1145833333333333,0.1979166666666666,0.6875
6,0.1354166666666666,0.2291666666666666,0.0520833333333333
7,0.0833333333333333,0.2604166666666667,0.2083333333333333
8,0.2291666666666666,0.5104166666666666,0.1354166666666666
9,0.1875,0.1666666666666666,0.375
