,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
0,-1.1748046875,-5.41796875,-1.8955078125,-2.70703125,-1.974609375,-3.328125
1,-1.2109375,-4.28125,-1.775390625,-3.943359375,-8.265625,-6.87109375
2,-1.4189453125,-0.8232421875,-3.919921875,-6.44140625,-9.515625,-8.171875
3,-0.94580078125,-4.87109375,-6.9140625,-8.6875,-8.1953125,-8.3359375
4,-1.0634765625,-2.1328125,-2.6171875,-4.65234375,-9.0,-8.296875
5,-0.8505859375,-3.048828125,-6.078125,-8.59375,-6.37109375,-5.53125
6,-1.5712890625,-7.3671875,-8.7890625,-10.0546875,-10.09375,-9.21875
7,-1.625,-4.68359375,-3.07421875,-7.54296875,-9.71875,-9.5234375
8,-1.2783203125,-4.56640625,-8.3671875,-10.09375,-10.3515625,-9.1484375
9,-1.45703125,-3.037109375,-5.96875,-8.4140625,-8.328125,-9.6484375
10,-2.060546875,-7.5234375,-9.125,-9.125,-9.125,-6.91796875
11,-1.244140625,-3.794921875,-4.0078125,-2.77734375,-7.99609375,-9.0390625
12,-1.107421875,-4.24609375,-7.48828125,-9.265625,-9.765625,-9.40625
13,-1.2666015625,-3.13671875,-6.71484375,-3.171875,-6.8515625,-7.671875
14,-1.6357421875,-6.296875,-8.65625,-8.7578125,-8.7578125,-7.76953125
15,-1.2392578125,-2.451171875,-8.96875,-8.1171875,-10.203125,-7.19140625
16,-1.771484375,-6.10546875,-7.1640625,-10.15625,-10.15625,-8.71875
17,-1.333984375,-4.5,-8.78125,-9.2578125,-9.4296875,-9.6171875
18,-0.99755859375,-3.859375,-7.74609375,-8.8125,-9.5390625,-8.8828125
19,-1.306640625,-2.646484375,-4.09375,-5.34375,-4.7734375,-7.453125
