elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
512,574,992,829,026,006,360,261,267,109,946
101,282,191,979,321,009,549,688,454,697,430
128,517,446,064,247,449,569,921,625,921,849
640,251,896,465,002,002,758,064,756,762,996
070,675,865,050,449,441,647,666,472,077,471
170,698,774,393,259,247,247,894,120,971,46
165,635,625,749,200,867,945,692,077,377,294
611,777,304,613,006,598,776,687,137,059,568
106,357,596,853,304,026,598,133,917,386,541
615,184,803,625,232,001,259,835,446,907,453
