,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-5.25390625,-7.04296875,-6.92578125,-6.92578125,-7.0390625,-7.46484375
1,-6.0859375,-5.86328125,-6.734375,-6.99609375,-7.36328125,-6.8828125
2,-6.30078125,-5.92578125,-5.51171875,-7.5859375,-7.0,-6.765625
3,-6.125,-5.65625,-5.6484375,-6.37890625,-6.5078125,-6.30859375
4,-6.09765625,-5.41015625,-3.8671875,-4.6796875,-4.88671875,-6.97265625
5,-5.6484375,-4.8515625,-5.76953125,-4.7578125,-5.0,-5.43359375
6,-5.00390625,-5.91796875,-6.59375,-6.73046875,-7.05078125,-6.875
7,-5.66015625,-4.94921875,-5.12890625,-5.56640625,-5.5625,-6.5703125
8,-5.08203125,-5.17578125,-5.19140625,-6.62109375,-6.4140625,-6.59765625
9,-5.875,-4.62890625,-5.80859375,-6.22265625,-6.87890625,-6.94921875
10,-5.70703125,-4.6484375,-6.37109375,-6.95703125,-6.42578125,-5.078125
11,-5.69921875,-4.61328125,-4.38671875,-5.5390625,-6.67578125,-7.140625
12,-5.53125,-6.23828125,-4.32421875,-4.328125,-5.1171875,-5.9375
13,-5.703125,-6.44140625,-5.75390625,-5.93359375,-5.9296875,-6.1328125
14,-5.2421875,-5.54296875,-5.3359375,-6.3515625,-6.93359375,-7.2109375
15,-6.453125,-5.44140625,-5.09375,-5.69140625,-5.71875,-7.15234375
16,-5.65234375,-5.1953125,-5.25390625,-5.06640625,-6.41796875,-6.33203125
17,-6.21875,-6.6171875,-6.98828125,-6.98828125,-7.0234375,-7.0703125
18,-6.51171875,-6.2109375,-5.58984375,-6.203125,-6.90234375,-7.28515625
19,-6.68359375,-6.1953125,-5.734375,-6.703125,-6.44140625,-6.60546875
