,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-6.0234375,-5.99609375,-5.3203125,-6.484375,-5.6640625,-5.46484375
1,-5.95703125,-5.57421875,-5.8515625,-5.98828125,-6.21875,-6.12109375
2,-6.0546875,-5.9921875,-6.9921875,-6.20703125,-5.90625,-6.046875
3,-5.78125,-6.56640625,-6.90234375,-6.5078125,-6.29296875,-6.30078125
4,-6.33203125,-5.71484375,-7.0625,-6.65625,-5.6328125,-6.28515625
5,-5.98046875,-6.1484375,-6.68359375,-4.55078125,-5.9765625,-6.42578125
6,-6.04296875,-7.03515625,-6.47265625,-6.30859375,-6.08203125,-6.70703125
7,-6.46484375,-6.85546875,-6.4375,-6.40234375,-6.0234375,-5.58984375
8,-6.63671875,-5.56640625,-6.1953125,-6.02734375,-6.12890625,-5.9375
9,-6.14453125,-5.890625,-5.71484375,-5.83984375,-7.234375,-6.51171875
10,-5.37890625,-5.8203125,-6.08203125,-6.0625,-6.0625,-6.21484375
11,-6.16015625,-5.7265625,-5.5234375,-6.3046875,-6.5859375,-5.50390625
12,-6.3828125,-6.4921875,-5.8828125,-6.31640625,-5.77734375,-6.02734375
13,-5.671875,-5.83203125,-6.25,-6.2109375,-6.25,-6.29296875
14,-6.1875,-7.7421875,-7.23046875,-5.8046875,-6.08203125,-6.65234375
15,-6.33984375,-5.9609375,-6.125,-6.28515625,-6.39453125,-6.796875
16,-6.25,-5.66015625,-6.33203125,-5.6875,-6.4609375,-5.99609375
17,-5.87890625,-5.765625,-5.93359375,-6.0078125,-6.01953125,-6.1640625
18,-6.5078125,-5.7265625,-5.57421875,-6.49609375,-6.73828125,-6.41796875
19,-6.19140625,-6.1015625,-5.40234375,-7.38671875,-7.01953125,-6.765625
