,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,0.0104166666666666,0.0,0.0208333333333333,0.03125,0.0260416666666666,0.03125
1,0.0104166666666666,0.0,0.0052083333333333,0.0,0.0104166666666666,0.0104166666666666
2,0.0104166666666666,0.0,0.0,0.015625,0.0052083333333333,0.0364583333333333
3,0.0260416666666666,0.0,0.0104166666666666,0.0260416666666666,0.0416666666666666,0.0260416666666666
4,0.0052083333333333,0.0,0.0104166666666666,0.03125,0.03125,0.0104166666666666
5,0.0052083333333333,0.0,0.0364583333333333,0.046875,0.0104166666666666,0.0208333333333333
6,0.0,0.0052083333333333,0.015625,0.015625,0.015625,0.0052083333333333
7,0.0052083333333333,0.0,0.0,0.0,0.0052083333333333,0.046875
8,0.0,0.0,0.0,0.0052083333333333,0.0052083333333333,0.015625
9,0.015625,0.0,0.0,0.015625,0.03125,0.0052083333333333
10,0.0,0.0104166666666666,0.0260416666666666,0.0364583333333333,0.015625,0.015625
11,0.0052083333333333,0.0,0.0,0.0052083333333333,0.015625,0.03125
12,0.015625,0.0052083333333333,0.0,0.0260416666666666,0.0104166666666666,0.0
13,0.0104166666666666,0.0,0.0052083333333333,0.03125,0.0052083333333333,0.0625
14,0.015625,0.0,0.0052083333333333,0.0,0.0104166666666666,0.0104166666666666
15,0.0104166666666666,0.0,0.0104166666666666,0.0,0.0052083333333333,0.0260416666666666
16,0.0104166666666666,0.0,0.0,0.0677083333333333,0.0,0.0364583333333333
17,0.0052083333333333,0.0052083333333333,0.0,0.0416666666666666,0.0,0.0208333333333333
18,0.0052083333333333,0.0104166666666666,0.015625,0.0052083333333333,0.0052083333333333,0.0260416666666666
19,0.0208333333333333,0.0104166666666666,0.0052083333333333,0.0,0.03125,0.026041666666666668
