elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
501,335,597,007,366,366,469,573,524,366,914
653,834,519,419,501,194,366,366,184,731,408
178,767,208,469,469,501,178,747,682,058,823
469,636,448,501,178,519,501,553,501,178,964
475,993,939,178,194,469,194,419,519,469,446
550,939,309,169,613,475,419,228,844,519,42
519,695,636,058,703,521,653,707,178,564,276
951,218,366,440,201,178,475,529,208,762,549
953,681,695,194,573,951,742,912,742,742,520
524,309,752,683,141,459,524,451,589,201,429
