,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-5.21484375,-5.67578125,-4.9296875,-5.828125,-5.55859375,-6.85546875
1,-5.03125,-5.94140625,-6.14453125,-5.578125,-5.84375,-6.09375
2,-2.236328125,-5.60546875,-5.90234375,-5.44140625,-4.43359375,-5.14453125
3,-4.19921875,-5.66796875,-6.578125,-5.9140625,-5.75390625,-6.765625
4,-5.0,-6.46484375,-5.859375,-6.08203125,-5.734375,-6.03125
5,-4.16015625,-5.546875,-6.2421875,-5.35546875,-5.72265625,-6.36328125
6,-3.8671875,-6.47265625,-5.97265625,-6.2890625,-5.875,-6.25390625
7,-4.34765625,-6.03515625,-5.35546875,-6.09765625,-6.4921875,-6.61328125
8,-6.6953125,-6.828125,-6.09375,-5.66015625,-5.58203125,-5.71484375
9,-4.67578125,-5.8671875,-6.09375,-6.953125,-6.94921875,-6.82421875
10,-4.1171875,-6.125,-6.015625,-6.12890625,-6.84765625,-6.9296875
11,-4.25390625,-6.18359375,-6.06640625,-5.89453125,-6.515625,-5.78515625
12,-4.796875,-5.9609375,-5.8359375,-5.078125,-5.63671875,-5.4140625
13,-4.5234375,-6.6953125,-6.44140625,-6.8828125,-6.2421875,-7.00390625
14,-5.11328125,-6.890625,-6.45703125,-7.1640625,-7.4140625,-7.43359375
15,-3.8125,-5.72265625,-6.9140625,-6.59375,-6.2734375,-7.34765625
16,-3.77734375,-5.3828125,-4.00390625,-4.41015625,-4.421875,-6.41796875
17,-4.53515625,-6.33984375,-6.36328125,-6.05078125,-6.05859375,-6.6640625
18,-4.375,-5.92578125,-7.28515625,-6.19921875,-6.265625,-5.17578125
19,-5.1640625,-6.75390625,-6.58203125,-6.4921875,-6.71875,-6.84375
