,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-4.546875,-6.140625,-5.3671875,-5.25,-5.65234375,-6.85546875
1,-4.39453125,-6.3671875,-5.69921875,-5.5859375,-6.15625,-6.09375
2,-5.3203125,-6.98828125,-7.5390625,-5.234375,-4.53125,-5.14453125
3,-4.78125,-6.1796875,-7.31640625,-6.5703125,-6.3671875,-6.765625
4,-4.59765625,-6.16015625,-6.0234375,-6.44921875,-5.78125,-6.03125
5,-4.84375,-5.41015625,-7.390625,-6.14453125,-5.75,-6.36328125
6,-5.5625,-5.765625,-5.52734375,-6.44140625,-6.3828125,-6.25390625
7,-4.6640625,-6.19140625,-5.6171875,-6.296875,-6.71484375,-6.61328125
8,-5.4609375,-7.21484375,-6.5078125,-5.5625,-4.9609375,-5.71484375
9,-4.96484375,-6.79296875,-6.921875,-6.53515625,-6.703125,-6.82421875
10,-5.02734375,-6.453125,-5.55078125,-5.58203125,-6.82421875,-6.9296875
11,-4.56640625,-6.45703125,-6.39453125,-6.3671875,-6.65625,-5.78515625
12,-4.77734375,-6.00390625,-6.01953125,-4.921875,-5.44140625,-5.4140625
13,-4.09375,-7.2109375,-6.546875,-6.83203125,-6.8984375,-7.00390625
14,-5.03125,-6.9921875,-6.1953125,-7.41015625,-7.83203125,-7.43359375
15,-5.015625,-5.421875,-6.7421875,-6.22265625,-6.86328125,-7.34765625
16,-4.6171875,-5.51953125,-3.794921875,-4.0859375,-3.966796875,-6.41796875
17,-4.97265625,-6.1640625,-6.08203125,-5.9921875,-6.40625,-6.6640625
18,-5.41796875,-6.37890625,-7.30859375,-6.3125,-6.6328125,-5.17578125
19,-4.7890625,-6.7109375,-6.47265625,-6.34375,-6.5546875,-6.84375
