,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-1.7275390625,-3.4140625,-3.318359375,-5.33984375,-5.33984375,-5.39453125
1,-1.8984375,-5.265625,-5.8984375,-4.86328125,-5.65234375,-6.640625
2,-1.4140625,-5.1640625,-5.9921875,-5.96484375,-6.6640625,-6.7265625
3,-0.58984375,-4.75390625,-5.78125,-4.7890625,-3.822265625,-5.3671875
4,-1.416015625,-4.06640625,-6.171875,-5.30859375,-5.75390625,-5.72265625
5,-1.16796875,-3.181640625,-5.20703125,-5.0625,-5.0625,-4.6328125
6,-2.009765625,-5.609375,-6.234375,-6.43359375,-6.875,-6.609375
7,-2.015625,-4.93359375,-4.828125,-6.26953125,-7.1484375,-5.859375
8,-1.650390625,-5.28515625,-7.265625,-7.8359375,-7.8359375,-7.23828125
9,-1.580078125,-6.03125,-5.12109375,-6.28125,-5.75390625,-6.38671875
10,-1.3603515625,-4.9765625,-5.22265625,-6.55859375,-7.21484375,-6.58203125
11,-1.7138671875,-5.94921875,-6.94921875,-6.9296875,-6.8359375,-7.078125
12,-1.2275390625,-4.046875,-5.60546875,-5.3671875,-5.3671875,-5.53125
13,-1.76953125,-4.9375,-5.66015625,-5.4921875,-5.59375,-6.60546875
14,-1.8388671875,-6.08984375,-5.0859375,-6.06640625,-5.51171875,-5.58984375
15,-0.94384765625,-4.25,-5.76953125,-5.76953125,-5.76953125,-5.39453125
16,-1.51171875,-6.2421875,-5.98046875,-6.7109375,-6.6640625,-6.01953125
17,-1.12890625,-6.26171875,-5.2890625,-4.8828125,-6.2421875,-6.43359375
18,-1.1591796875,-3.6953125,-3.80859375,-3.365234375,-6.2421875,-6.375
19,-1.6826171875,-4.4140625,-6.59375,-6.48828125,-5.17578125,-4.29296875
