,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe
0,-1.3623046875,-2.044921875,-3.853515625,-3.3984375,-2.96484375,-6.0
1,-0.884765625,-1.4326171875,-2.994140625,-1.8466796875,-3.587890625,-4.0234375
2,-0.80029296875,-2.79296875,-3.046875,-3.970703125,-5.38671875,-4.234375
3,-0.77734375,-1.7607421875,-0.55615234375,-2.14453125,-2.767578125,-1.451171875
4,-0.900390625,-2.0234375,-2.724609375,-3.978515625,-4.92578125,-4.66796875
5,-0.82421875,-3.806640625,-3.046875,-2.470703125,-3.46875,-3.1328125
6,-0.9287109375,-4.10546875,-4.0859375,-4.71875,-4.71875,-5.46875
7,-1.33984375,-2.49609375,-3.15234375,-3.09765625,-3.099609375,-4.03515625
8,-1.1513671875,-0.72509765625,-2.458984375,-2.8203125,-4.33203125,-3.59765625
9,-1.2099609375,-1.7041015625,-4.51171875,-4.61328125,-4.73828125,-4.359375
10,-0.90087890625,-3.865234375,-4.23828125,-4.23828125,-4.21875,-3.94140625
11,-1.490234375,-1.115234375,-1.91796875,-3.291015625,-4.40234375,-6.2265625
12,-2.359375,-1.3505859375,-3.482421875,-1.7275390625,-2.212890625,-1.736328125
13,-0.9638671875,-2.3515625,-1.4833984375,-1.482421875,-3.275390625,-3.7265625
14,-1.0888671875,-1.515625,-1.9560546875,-2.447265625,-1.98828125,-1.771484375
15,-0.91357421875,-1.5419921875,-1.9423828125,-3.412109375,-4.36328125,-4.11328125
16,-0.7724609375,-1.408203125,-2.72265625,-1.0869140625,-4.5703125,-4.03125
17,-0.998046875,-0.6708984375,-0.9091796875,-1.7080078125,-2.740234375,-3.203125
18,-1.083984375,-0.7021484375,-1.0146484375,-2.1796875,-5.5625,-5.42578125
19,-0.83642578125,-0.88427734375,-4.34765625,-2.259765625,-4.0703125,-4.52734375
