,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo
0,0.0833333333333333,0.1111111111111111,0.0833333333333333
1,0.0972222222222222,0.0138888888888888,0.0277777777777777
2,0.1666666666666666,0.0694444444444444,0.0
3,0.125,0.0833333333333333,0.0416666666666666
4,0.0833333333333333,0.1805555555555555,0.0416666666666666
5,0.1944444444444444,0.0138888888888888,0.0
6,0.0277777777777777,0.0555555555555555,0.0833333333333333
7,0.0833333333333333,0.0416666666666666,0.0
8,0.1388888888888889,0.0833333333333333,0.0
9,0.0833333333333333,0.0416666666666666,0.09722222222222222
