,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,0.0520833333333333,0.0833333333333333,0.0,0.0208333333333333,0.0,0.015625
1,0.0572916666666666,0.0052083333333333,0.0,0.0,0.0,0.0
2,0.015625,0.1510416666666666,0.0,0.0,0.0,0.0
3,0.0416666666666666,0.1145833333333333,0.0625,0.0,0.0,0.0052083333333333
4,0.046875,0.0260416666666666,0.2760416666666667,0.171875,0.0104166666666666,0.015625
5,0.125,0.1458333333333333,0.09375,0.0416666666666666,0.0,0.0
6,0.1197916666666666,0.0364583333333333,0.0364583333333333,0.0,0.0,0.0
7,0.0260416666666666,0.03125,0.0,0.0,0.0,0.0
8,0.0677083333333333,0.15625,0.0885416666666666,0.0052083333333333,0.0,0.0
9,0.0572916666666666,0.0260416666666666,0.046875,0.0052083333333333,0.0,0.0
10,0.0208333333333333,0.0,0.0,0.0,0.0,0.0052083333333333
11,0.046875,0.0729166666666666,0.0572916666666666,0.015625,0.0,0.0
12,0.0625,0.0416666666666666,0.03125,0.0,0.0,0.0
13,0.1197916666666666,0.0,0.0,0.0,0.0,0.0052083333333333
14,0.0208333333333333,0.0,0.0052083333333333,0.03125,0.0,0.0052083333333333
15,0.0104166666666666,0.0,0.0,0.0,0.0,0.0
16,0.0520833333333333,0.1979166666666666,0.0104166666666666,0.0,0.0,0.0
17,0.0416666666666666,0.015625,0.03125,0.0208333333333333,0.0052083333333333,0.0
18,0.1927083333333333,0.1510416666666666,0.046875,0.0104166666666666,0.0,0.0
19,0.0260416666666666,0.0208333333333333,0.0,0.0,0.0,0.0
