,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-3.130859375,-4.17578125,-7.3125,-4.91015625,-8.046875,-6.65625
1,-2.763671875,-4.11328125,-6.92578125,-7.8203125,-7.71875,-8.15625
2,-2.662109375,-4.61328125,-7.08203125,-7.98046875,-8.2265625,-7.56640625
3,-2.609375,-5.125,-4.76171875,-7.390625,-7.90234375,-7.63671875
4,-3.0390625,-4.1484375,-4.3984375,-3.8671875,-8.2421875,-6.24609375
5,-3.822265625,-3.158203125,-4.0234375,-3.142578125,-6.56640625,-6.88671875
6,-2.853515625,-4.8671875,-2.234375,-4.33203125,-7.41015625,-7.1328125
7,-3.23046875,-5.8515625,-8.0078125,-8.015625,-8.4296875,-8.671875
8,-2.849609375,-3.544921875,-4.28125,-5.69921875,-7.29296875,-6.32421875
9,-2.673828125,-4.4296875,-6.17578125,-5.62890625,-8.6796875,-8.1875
10,-3.19921875,-9.125,-9.4296875,-9.5625,-9.3046875,-8.4765625
11,-2.18359375,-5.6953125,-6.8359375,-7.29296875,-7.70703125,-9.5078125
12,-2.541015625,-4.90625,-3.990234375,-6.83203125,-8.15625,-8.203125
13,-3.419921875,-7.15234375,-8.3515625,-8.3515625,-7.96875,-7.4765625
14,-2.369140625,-2.92578125,-4.3125,-5.828125,-6.203125,-6.09375
15,-2.7109375,-4.5703125,-6.7890625,-7.41015625,-7.2734375,-7.359375
16,-3.2421875,-7.4921875,-7.40234375,-7.90234375,-7.10546875,-6.0625
17,-2.73046875,-4.94921875,-4.34375,-4.33984375,-7.24609375,-9.296875
18,-3.416015625,-5.06640625,-7.09375,-7.01953125,-7.48046875,-7.09765625
19,-2.947265625,-6.23046875,-7.08984375,-7.484375,-7.0234375,-6.359375
