elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
911,530,996,007,747,681,241,080,872,911,910
510,785,676,080,369,676,850,747,439,676,408
850,911,798,369,241,996,823,367,241,872,819
650,948,872,850,850,747,676,656,931,012,962
553,779,205,747,351,967,750,513,911,557,446
676,380,165,549,911,439,510,549,921,993,43
747,725,506,823,676,241,080,143,572,713,273
872,668,569,676,510,951,796,451,676,347,546
951,736,517,241,823,911,911,347,951,241,519
511,312,271,510,931,511,650,424,511,732,429
