,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe
0,-1.1767578125,-2.890625,-3.205078125,-3.951171875,-6.0,-8.0
1,-0.6767578125,-0.78076171875,-3.576171875,-3.845703125,-3.171875,-4.26953125
2,-0.86669921875,-1.669921875,-1.5166015625,-4.05078125,-4.8828125,-4.5078125
3,-0.39111328125,-2.267578125,-3.78125,-3.869140625,-5.203125,-4.4765625
4,-0.7080078125,-0.8271484375,-1.375,-2.455078125,-4.25,-3.900390625
5,-0.693359375,-0.90869140625,-4.48046875,-5.703125,-4.73046875,-5.12109375
6,-0.63623046875,-4.171875,-4.625,-5.015625,-5.33984375,-3.802734375
7,-0.5693359375,-1.4345703125,-2.865234375,-4.12109375,-4.48828125,-4.37109375
8,-0.61474609375,-2.275390625,-3.515625,-3.869140625,-4.19921875,-4.40234375
9,-0.92626953125,-1.408203125,-4.31640625,-4.69140625,-4.8828125,-4.671875
10,-0.61181640625,-2.041015625,-1.533203125,-1.9619140625,-1.5419921875,-4.57421875
11,-0.802734375,-1.595703125,-2.658203125,-3.83984375,-4.1015625,-3.849609375
12,-0.521484375,-1.3515625,-1.4912109375,-2.041015625,-4.17578125,-4.26171875
13,-0.841796875,-1.1748046875,-0.93505859375,-1.0341796875,-4.45703125,-3.7890625
14,-0.9345703125,-1.1396484375,-2.224609375,-1.7890625,-3.74609375,-3.4296875
15,-2.806640625,-3.03515625,-2.529296875,-2.26171875,-4.38671875,-3.890625
16,-0.7470703125,-2.154296875,-2.626953125,-2.58984375,-3.775390625,-5.7421875
17,-0.53955078125,-0.85205078125,-4.9765625,-6.0,-6.39453125,-5.7421875
18,-1.0693359375,-1.6005859375,-2.259765625,-4.40625,-5.7421875,-5.078125
19,-0.6865234375,-3.90234375,-4.52734375,-4.10546875,-4.44921875,-3.96875
