,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-7.35546875,-6.19140625,-5.83203125,-6.36328125,-6.63671875,-6.33203125
1,-4.37890625,-3.0703125,-3.751953125,-3.412109375,-1.7666015625,-1.81640625
2,-6.88671875,-6.56640625,-6.58984375,-6.99609375,-7.02734375,-7.02734375
3,-7.6328125,-6.5546875,-7.90234375,-7.78125,-7.77734375,-7.13671875
4,-6.80078125,-5.7890625,-5.1953125,-7.36328125,-6.39453125,-6.69921875
5,-7.90234375,-6.69921875,-7.42578125,-8.34375,-8.2890625,-8.2265625
6,-7.37890625,-7.38671875,-8.46875,-8.2734375,-8.328125,-7.54296875
7,-7.34375,-6.265625,-4.8359375,-6.18359375,-6.04296875,-6.3046875
8,-8.4609375,-7.35546875,-7.33984375,-6.29296875,-6.67578125,-6.17578125
9,-6.94140625,-5.91015625,-6.80859375,-6.24609375,-6.03125,-7.0859375
10,-6.53125,-6.3984375,-6.421875,-6.39453125,-6.3671875,-7.0859375
11,-7.73828125,-6.92578125,-7.15234375,-7.33984375,-8.0390625,-8.046875
12,-7.484375,-6.87109375,-7.06640625,-7.5390625,-9.4375,-8.765625
13,-7.71484375,-7.11328125,-7.609375,-6.796875,-5.80859375,-6.0078125
14,-7.44921875,-6.67578125,-6.47265625,-6.72265625,-6.984375,-6.91796875
15,-7.48828125,-7.21875,-6.81640625,-6.6328125,-7.05078125,-6.80078125
16,-7.13671875,-6.09765625,-5.4296875,-4.98828125,-6.1640625,-6.6015625
17,-6.8671875,-6.0546875,-6.1015625,-6.5078125,-6.51953125,-6.49609375
18,-7.296875,-6.51953125,-6.8046875,-6.61328125,-6.48828125,-6.7265625
19,-9.7265625,-7.07421875,-6.73046875,-7.265625,-7.21875,-7.7421875
