,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
0,0.0833333333333333,0.0364583333333333,0.0260416666666666,0.2083333333333333,0.0989583333333333,0.1666666666666666
1,0.0677083333333333,0.0260416666666666,0.0520833333333333,0.0364583333333333,0.0572916666666666,0.0416666666666666
2,0.09375,0.0572916666666666,0.015625,0.109375,0.2760416666666667,0.1875
3,0.125,0.0729166666666666,0.2395833333333333,0.046875,0.28125,0.4270833333333333
4,0.1979166666666666,0.2604166666666667,0.0989583333333333,0.0260416666666666,0.0364583333333333,0.3229166666666667
5,0.0833333333333333,0.0572916666666666,0.0572916666666666,0.1927083333333333,0.2864583333333333,0.3645833333333333
6,0.078125,0.1979166666666666,0.2239583333333333,0.0364583333333333,0.2239583333333333,0.1145833333333333
7,0.0572916666666666,0.0989583333333333,0.140625,0.1197916666666666,0.1510416666666666,0.1145833333333333
8,0.0989583333333333,0.0416666666666666,0.2447916666666666,0.1041666666666666,0.2083333333333333,0.1927083333333333
9,0.109375,0.0572916666666666,0.0052083333333333,0.125,0.21875,0.125
10,0.0833333333333333,0.0989583333333333,0.0833333333333333,0.1927083333333333,0.1041666666666666,0.421875
11,0.0625,0.1197916666666666,0.0989583333333333,0.171875,0.21875,0.09375
12,0.0885416666666666,0.1197916666666666,0.0885416666666666,0.1927083333333333,0.1927083333333333,0.109375
13,0.0625,0.2135416666666666,0.0364583333333333,0.0104166666666666,0.0208333333333333,0.0052083333333333
14,0.046875,0.046875,0.015625,0.390625,0.4010416666666667,0.265625
15,0.109375,0.0833333333333333,0.2916666666666667,0.0364583333333333,0.0833333333333333,0.0885416666666666
16,0.0885416666666666,0.0208333333333333,0.1041666666666666,0.0729166666666666,0.0729166666666666,0.4739583333333333
17,0.09375,0.140625,0.046875,0.25,0.421875,0.2395833333333333
18,0.078125,0.0677083333333333,0.15625,0.15625,0.125,0.28125
19,0.046875,0.0833333333333333,0.1302083333333333,0.2395833333333333,0.2447916666666666,0.21875
