,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
0,-0.99169921875,-5.7109375,-7.32421875,-9.8828125,-9.8984375,-7.66015625
1,-0.82568359375,-4.58203125,-2.79296875,-6.375,-3.77734375,-2.80078125
2,-1.0263671875,-4.125,-5.9296875,-7.796875,-9.8828125,-9.5078125
3,-1.13671875,-9.9453125,-10.1015625,-10.40625,-10.5859375,-9.5078125
4,-1.1884765625,-8.5625,-10.1171875,-10.75,-11.609375,-10.9375
5,-1.015625,-2.251953125,-1.55078125,-1.3759765625,-2.634765625,-0.8662109375
6,-1.4296875,-2.142578125,-8.640625,-10.265625,-7.73046875,-8.5546875
7,-0.98876953125,-3.755859375,-3.44140625,-2.193359375,-7.96875,-8.2109375
8,-1.193359375,-3.490234375,-8.765625,-9.125,-9.53125,-9.7421875
9,-1.345703125,-2.6484375,-8.1640625,-9.625,-10.03125,-8.359375
10,-1.546875,-9.046875,-9.9296875,-9.9921875,-9.6875,-10.1640625
11,-0.9853515625,-3.484375,-8.1015625,-7.12109375,-6.96484375,-5.828125
12,-0.84814453125,-2.96484375,-6.28515625,-8.84375,-8.9375,-7.15234375
13,-0.791015625,-2.83984375,-1.685546875,-5.33203125,-8.2890625,-7.71875
14,-1.126953125,-9.1875,-10.5234375,-10.5546875,-10.6171875,-9.4765625
15,-0.7119140625,-1.5166015625,-4.828125,-8.3203125,-9.3828125,-8.4375
16,-1.0625,-3.740234375,-9.09375,-8.65625,-9.875,-8.4765625
17,-0.39111328125,-1.5703125,-1.1474609375,-7.43359375,-9.96875,-9.296875
18,-1.123046875,-4.1875,-9.5625,-9.140625,-10.1640625,-9.3046875
19,-1.2138671875,-3.158203125,-3.5625,-9.3046875,-9.8515625,-8.5625
