elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
571,628,529,007,707,193,419,541,529,541,925
811,186,516,707,571,448,193,193,606,676,414
852,824,522,080,291,529,571,311,842,036,828
853,325,958,419,605,958,676,291,743,419,974
556,949,430,883,193,914,707,419,188,291,453
711,485,888,193,541,606,291,561,210,366,44
399,820,858,036,347,502,491,747,834,158,276
691,026,448,571,606,419,399,153,448,274,555
448,632,606,530,036,516,605,905,646,363,525
411,554,852,613,357,792,541,883,522,581,436
