,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-4.95703125,-7.69921875,-6.87890625,-7.19921875,-8.1171875,-9.2734375
1,-4.2734375,-7.40625,-8.15625,-7.59375,-7.05078125,-6.9609375
2,-4.33984375,-5.28515625,-7.578125,-7.8046875,-8.1640625,-7.53515625
3,-3.3046875,-7.4296875,-7.8984375,-7.3515625,-7.61328125,-8.4296875
4,-3.283203125,-8.40625,-7.4296875,-7.84375,-7.9453125,-7.80859375
5,-3.939453125,-7.3203125,-7.09765625,-7.91015625,-8.59375,-8.34375
6,-4.01953125,-6.7109375,-8.3125,-7.21484375,-7.37109375,-7.2890625
7,-4.30078125,-8.734375,-9.2109375,-9.421875,-9.53125,-9.0
8,-3.828125,-6.44140625,-8.171875,-7.81640625,-7.796875,-8.453125
9,-4.3359375,-7.8125,-7.33984375,-7.1484375,-7.30078125,-7.25
10,-4.44140625,-6.0,-6.94921875,-7.16796875,-7.58203125,-8.1015625
11,-4.55078125,-6.72265625,-7.640625,-6.73828125,-8.5390625,-8.0
12,-5.32421875,-6.45703125,-7.078125,-7.43359375,-7.953125,-8.3515625
13,-5.3359375,-6.3359375,-7.28125,-7.93359375,-8.2890625,-8.40625
14,-6.6796875,-6.25,-6.76953125,-7.1796875,-7.1484375,-8.0859375
15,-5.19140625,-7.78125,-7.02734375,-8.9375,-8.6484375,-7.95703125
16,-4.484375,-7.33203125,-7.4296875,-7.57421875,-8.296875,-7.9921875
17,-3.462890625,-7.2265625,-6.96484375,-8.0,-7.23046875,-7.15625
18,-5.08203125,-6.00390625,-6.92578125,-7.16796875,-6.67578125,-7.00390625
19,-4.32421875,-8.0859375,-7.96484375,-9.0703125,-8.0390625,-8.015625
