,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-4.3984375,-7.76171875,-6.8125,-7.07421875,-7.68359375,-9.2734375
1,-4.41796875,-6.73828125,-8.2109375,-7.74609375,-7.55859375,-6.9609375
2,-4.90625,-6.05078125,-7.34765625,-6.8828125,-6.86328125,-7.53515625
3,-3.64453125,-7.3046875,-7.796875,-7.46875,-7.81640625,-8.4296875
4,-3.560546875,-8.1875,-7.09765625,-7.8515625,-7.9765625,-7.80859375
5,-3.634765625,-7.59765625,-6.6875,-7.37890625,-7.85546875,-8.34375
6,-3.875,-6.4453125,-7.46875,-6.75,-6.31640625,-7.2890625
7,-4.40234375,-7.68359375,-8.5546875,-8.765625,-9.6640625,-9.0
8,-4.30859375,-5.9921875,-7.97265625,-8.0078125,-6.84765625,-8.453125
9,-4.62109375,-8.0546875,-7.73046875,-6.609375,-7.30078125,-7.25
10,-3.716796875,-6.16796875,-7.56640625,-6.68359375,-7.3984375,-8.1015625
11,-4.2734375,-7.23046875,-7.58203125,-6.6875,-7.69921875,-8.0
12,-5.60546875,-6.24609375,-6.5703125,-8.3203125,-8.6796875,-8.3515625
13,-3.515625,-6.71875,-7.50390625,-7.6953125,-8.1953125,-8.40625
14,-4.3359375,-4.5,-5.82421875,-7.28515625,-6.84375,-8.0859375
15,-4.328125,-6.984375,-6.5234375,-8.1484375,-8.375,-7.95703125
16,-4.02734375,-6.42578125,-7.1953125,-7.4765625,-8.2421875,-7.9921875
17,-3.6328125,-7.1484375,-7.23046875,-8.9453125,-7.3046875,-7.15625
18,-4.1875,-6.33203125,-6.7578125,-6.86328125,-6.5859375,-7.00390625
19,-4.03125,-7.6640625,-7.33984375,-9.9140625,-8.125,-8.015625
