,agent0_giraffe,agent1_giraffe,agent2_giraffe
0,0.0833333333333333,0.0729166666666666,0.0729166666666666
1,0.1770833333333333,0.0104166666666666,0.0208333333333333
2,0.0625,0.2604166666666667,0.03125
3,0.1770833333333333,0.15625,0.0208333333333333
4,0.15625,0.1354166666666666,0.0
5,0.1770833333333333,0.0104166666666666,0.1041666666666666
6,0.2395833333333333,0.1770833333333333,0.0
7,0.21875,0.375,0.0
8,0.1145833333333333,0.0520833333333333,0.3020833333333333
9,0.09375,0.09375,0.16666666666666666
