,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-2.455078125,-6.61328125,-5.6875,-7.03125,-6.63671875,-7.6484375
1,-2.4140625,-7.71484375,-6.24609375,-8.21875,-8.0078125,-8.2265625
2,-2.685546875,-6.65234375,-6.90625,-6.65234375,-7.1015625,-6.97265625
3,-2.275390625,-6.7265625,-8.2578125,-8.359375,-8.546875,-7.79296875
4,-3.21484375,-6.66015625,-7.20703125,-7.16015625,-7.23828125,-7.921875
5,-3.009765625,-7.75,-8.046875,-7.79296875,-8.296875,-8.140625
6,-2.998046875,-7.578125,-6.45703125,-6.49609375,-6.56640625,-6.83203125
7,-3.19140625,-7.7890625,-7.58203125,-7.01171875,-7.203125,-8.265625
8,-3.560546875,-7.09375,-7.9296875,-6.81640625,-5.40625,-5.8125
9,-2.400390625,-6.55078125,-7.12890625,-7.9375,-7.671875,-8.609375
10,-2.50390625,-7.59375,-8.15625,-8.0703125,-6.91796875,-8.546875
11,-3.48046875,-7.015625,-8.0234375,-7.44921875,-6.72265625,-7.44921875
12,-1.8427734375,-5.54296875,-6.87109375,-8.1796875,-8.2578125,-8.4765625
13,-3.14453125,-6.7890625,-7.19921875,-8.140625,-8.15625,-8.2734375
14,-2.970703125,-7.140625,-8.3515625,-8.9140625,-8.9140625,-9.1640625
15,-3.79296875,-6.8671875,-7.1640625,-7.90234375,-7.703125,-7.99609375
16,-3.505859375,-5.99609375,-6.1875,-5.69140625,-7.09375,-8.609375
17,-3.208984375,-6.66015625,-7.92578125,-8.359375,-7.890625,-8.6796875
18,-2.82421875,-6.86328125,-7.2890625,-8.421875,-8.640625,-8.7109375
19,-2.87890625,-7.40234375,-7.828125,-7.828125,-7.828125,-8.1953125
