,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin
0,0.203125,0.15625,0.1197916666666666,0.0364583333333333,0.03125,0.0572916666666666
1,0.234375,0.0989583333333333,0.140625,0.1145833333333333,0.0677083333333333,0.0520833333333333
2,0.15625,0.0572916666666666,0.0833333333333333,0.0729166666666666,0.0885416666666666,0.0729166666666666
3,0.1458333333333333,0.0729166666666666,0.0416666666666666,0.0260416666666666,0.0104166666666666,0.0
4,0.375,0.125,0.0989583333333333,0.0572916666666666,0.046875,0.09375
5,0.2760416666666667,0.1458333333333333,0.078125,0.0625,0.0208333333333333,0.0208333333333333
6,0.3385416666666667,0.046875,0.0572916666666666,0.0572916666666666,0.109375,0.0989583333333333
7,0.2135416666666666,0.1510416666666666,0.1302083333333333,0.4114583333333333,0.0416666666666666,0.046875
8,0.2916666666666667,0.125,0.1979166666666666,0.2135416666666666,0.1614583333333333,0.1197916666666666
9,0.296875,0.0572916666666666,0.234375,0.21875,0.0520833333333333,0.078125
10,0.3489583333333333,0.0833333333333333,0.1354166666666666,0.0625,0.1197916666666666,0.0677083333333333
11,0.2604166666666667,0.1875,0.1041666666666666,0.0833333333333333,0.0625,0.0260416666666666
12,0.2291666666666666,0.125,0.0572916666666666,0.0572916666666666,0.0572916666666666,0.1145833333333333
13,0.0520833333333333,0.046875,0.0260416666666666,0.03125,0.0520833333333333,0.0260416666666666
14,0.2604166666666667,0.0833333333333333,0.234375,0.09375,0.0364583333333333,0.0572916666666666
15,0.2864583333333333,0.1822916666666666,0.1041666666666666,0.15625,0.1041666666666666,0.0885416666666666
16,0.3802083333333333,0.109375,0.0364583333333333,0.140625,0.0260416666666666,0.0520833333333333
17,0.40625,0.1302083333333333,0.2395833333333333,0.28125,0.0208333333333333,0.0052083333333333
18,0.3125,0.3177083333333333,0.1822916666666666,0.0052083333333333,0.0364583333333333,0.078125
19,0.3541666666666667,0.0729166666666666,0.2239583333333333,0.09375,0.0208333333333333,0.015625
