,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin
0,-0.04559326171875,-0.480712890625,-0.5380859375,-0.72607421875,-0.421875,-0.35693359375
1,-0.05474853515625,-0.66455078125,-0.46337890625,-0.307861328125,-0.31103515625,-0.4091796875
2,-0.08343505859375,-0.7568359375,-0.445068359375,-0.445068359375,-0.445068359375,-0.283203125
3,-0.08978271484375,-0.70751953125,-0.916015625,-0.666015625,-0.775390625,-1.333984375
4,-0.08544921875,-1.443359375,-0.266845703125,-0.266845703125,-0.266845703125,-0.322509765625
5,-0.044952392578125,-0.481201171875,-0.67626953125,-0.45556640625,-0.2440185546875,-0.61865234375
6,-0.036407470703125,-1.177734375,-0.463623046875,-0.235107421875,-0.1136474609375,-0.2335205078125
7,-0.070556640625,-0.375732421875,-0.1536865234375,-0.03485107421875,-0.07977294921875,-0.25341796875
8,-0.048431396484375,-0.162353515625,-0.217529296875,-0.237548828125,-0.237548828125,-0.40478515625
9,-0.095703125,-0.5830078125,-0.47412109375,-0.274169921875,-0.332275390625,-0.25
10,-0.058837890625,-1.271484375,-0.54443359375,-0.1778564453125,-0.273681640625,-0.190673828125
11,-0.06427001953125,-0.257568359375,-0.169677734375,-0.1297607421875,-0.1324462890625,-0.2103271484375
12,-0.08282470703125,-0.427734375,-0.2440185546875,-0.218994140625,-0.2578125,-1.0048828125
13,-0.472900390625,-0.50537109375,-0.356201171875,-0.409423828125,-0.343994140625,-0.63720703125
14,-0.11651611328125,-0.468505859375,-0.389892578125,-0.08404541015625,-0.26123046875,-0.1898193359375
15,-0.032806396484375,-0.3291015625,-0.58837890625,-0.33642578125,-0.26513671875,-0.359375
16,-0.09857177734375,-0.99072265625,-0.2705078125,-0.365234375,-1.0224609375,-0.49658203125
17,-0.050811767578125,-0.4072265625,-0.7392578125,-0.40185546875,-0.27099609375,-0.349853515625
18,-0.157470703125,-0.07958984375,-0.1947021484375,-0.31982421875,-0.20556640625,-0.2197265625
19,-0.040924072265625,-0.5595703125,-0.1356201171875,-0.1732177734375,-0.1820068359375,-0.386474609375
