,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-6.41015625,-7.265625,-6.36328125,-6.21484375,-6.3671875,-6.72265625
1,-5.74609375,-6.390625,-6.05859375,-6.9140625,-6.66796875,-6.94140625
2,-6.046875,-6.69921875,-6.625,-6.1328125,-6.03515625,-6.953125
3,-6.640625,-7.21875,-6.421875,-5.65234375,-5.8046875,-6.4140625
4,-6.6328125,-7.359375,-6.10546875,-5.875,-7.21484375,-7.20703125
5,-6.54296875,-6.30078125,-6.171875,-5.5703125,-5.875,-6.33203125
6,-6.0703125,-7.25,-6.11328125,-5.359375,-5.8984375,-5.62890625
7,-6.6171875,-7.1171875,-7.125,-7.1015625,-7.2109375,-7.05859375
8,-6.4375,-7.578125,-6.4375,-6.06640625,-6.34375,-6.12890625
9,-7.8125,-5.734375,-5.62890625,-6.3203125,-6.54296875,-6.51171875
10,-6.3125,-6.0625,-6.54296875,-6.1796875,-6.4765625,-7.2421875
11,-6.42578125,-6.97265625,-7.34375,-7.01171875,-6.65234375,-7.49609375
12,-6.2265625,-6.51171875,-6.63671875,-6.61328125,-6.828125,-7.3515625
13,-6.39453125,-7.36328125,-7.06640625,-6.41796875,-6.83984375,-7.66015625
14,-6.109375,-6.953125,-6.5078125,-6.60546875,-6.4609375,-6.53515625
15,-6.046875,-7.40234375,-6.8984375,-6.58984375,-7.1796875,-7.93359375
16,-6.36328125,-5.88671875,-6.1328125,-5.62109375,-5.6796875,-7.05078125
17,-5.80078125,-6.92578125,-6.2109375,-6.87109375,-6.8203125,-6.87109375
18,-6.3828125,-7.25390625,-6.73828125,-7.16015625,-6.609375,-6.79296875
19,-6.35546875,-7.21875,-6.52734375,-6.56640625,-6.9375,-7.12890625
