,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
0,-1.44140625,-5.4609375,-6.97265625,-7.14453125,-7.2421875,-5.15234375
1,-1.462890625,-4.65625,-7.59765625,-8.84375,-8.578125,-8.8515625
2,-0.9931640625,-2.703125,-6.79296875,-8.7578125,-9.8125,-9.1328125
3,-1.998046875,-6.98828125,-9.6953125,-10.4453125,-8.4453125,-8.46875
4,-5.09375,-3.732421875,-6.60546875,-9.296875,-11.3671875,-11.859375
5,-1.54296875,-10.1953125,-10.46875,-10.453125,-10.4765625,-7.81640625
6,-1.955078125,-4.0078125,-3.81640625,-9.6796875,-9.9140625,-8.6796875
7,-1.380859375,-3.70703125,-6.328125,-8.0,-7.8359375,-6.390625
8,-1.8671875,-5.3515625,-5.33984375,-9.609375,-10.6640625,-9.21875
9,-1.1513671875,-1.576171875,-2.33203125,-9.046875,-7.9375,-8.2265625
10,-1.6943359375,-9.0546875,-8.3203125,-8.140625,-10.296875,-9.875
11,-1.4091796875,-3.9375,-7.2890625,-8.9921875,-10.140625,-8.8359375
12,-1.8369140625,-4.67578125,-4.62109375,-6.6640625,-8.6015625,-8.0
13,-3.32421875,-3.49609375,-2.8828125,-2.16796875,-8.9765625,-8.9140625
14,-2.09375,-2.49609375,-7.1953125,-9.140625,-9.3046875,-8.203125
15,-1.40234375,-9.3515625,-9.75,-9.7265625,-9.890625,-8.8828125
16,-1.4990234375,-3.443359375,-5.21875,-9.21875,-9.375,-8.796875
17,-1.201171875,-2.748046875,-8.3828125,-7.52734375,-9.2265625,-8.75
18,-1.2060546875,-4.58984375,-6.26171875,-10.3515625,-10.2265625,-9.390625
19,-1.38671875,-1.396484375,-5.1015625,-9.28125,-10.171875,-9.3828125
