,agent0_elephant,agent1_elephant,agent2_elephant
0,0.2916666666666667,0.0972222222222222,0.0
1,0.5833333333333334,0.6527777777777778,0.25
2,0.3472222222222222,0.1527777777777778,0.1388888888888889
3,0.2916666666666667,0.0555555555555555,0.0
4,0.0833333333333333,0.4166666666666667,0.0694444444444444
5,0.3194444444444444,0.1944444444444444,0.0555555555555555
6,0.3888888888888889,0.2361111111111111,0.0555555555555555
7,0.3472222222222222,0.0972222222222222,0.0
8,0.2222222222222222,0.0972222222222222,0.1111111111111111
9,0.3055555555555556,0.2083333333333333,0.013888888888888888
