,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,-0.892578125,-4.71875,-3.251953125,-5.14453125,-6.62109375,-7.48046875
1,-0.783203125,-3.673828125,-3.119140625,-7.5234375,-8.1171875,-8.3671875
2,-2.96875,-6.9921875,-8.1015625,-7.7890625,-7.98046875,-8.828125
3,-0.78369140625,-2.33984375,-1.6318359375,-1.8740234375,-3.4375,-6.01953125
4,-0.8662109375,-5.41796875,-3.5390625,-2.263671875,-3.75,-6.84375
5,-1.1181640625,-3.6171875,-3.880859375,-7.25390625,-7.79296875,-7.06640625
6,-1.2001953125,-4.0703125,-7.4765625,-7.41796875,-7.57421875,-7.44140625
7,-0.970703125,-2.978515625,-2.505859375,-5.75390625,-7.87109375,-7.58984375
8,-1.1611328125,-3.103515625,-7.09765625,-7.75390625,-7.5390625,-8.171875
9,-2.857421875,-2.91015625,-5.296875,-6.18359375,-7.47265625,-5.48046875
10,-0.92138671875,-3.62890625,-5.0,-2.82421875,-4.21875,-5.54296875
11,-1.3095703125,-2.767578125,-3.947265625,-4.328125,-5.4921875,-3.1953125
12,-3.44921875,-4.5859375,-3.515625,-5.49609375,-4.89453125,-8.3125
13,-2.27734375,-3.31640625,-7.03515625,-7.74609375,-7.98046875,-8.40625
14,-0.73095703125,-3.720703125,-5.75,-6.05859375,-6.68359375,-6.90625
15,-2.697265625,-5.97265625,-8.140625,-8.5078125,-8.9140625,-8.84375
16,-0.8701171875,-3.15234375,-3.70703125,-4.37109375,-6.40625,-6.97265625
17,-2.056640625,-2.912109375,-4.25390625,-7.17578125,-7.3984375,-7.91796875
18,-2.685546875,-2.927734375,-3.029296875,-3.990234375,-3.6171875,-6.94921875
19,-3.50390625,-6.48828125,-8.171875,-8.53125,-8.390625,-8.546875
