,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-2.95703125,-7.03515625,-8.0390625,-6.71875,-6.234375,-5.8671875
1,-2.396484375,-5.90234375,-6.7890625,-6.59765625,-6.71484375,-5.8828125
2,-2.51953125,-6.14453125,-6.09375,-6.70703125,-6.73828125,-7.04296875
3,-2.267578125,-3.22265625,-4.1875,-4.3984375,-6.4921875,-6.1640625
4,-2.21484375,-4.73046875,-5.59375,-4.1953125,-5.13671875,-4.6015625
5,-2.34765625,-4.625,-4.65625,-7.03515625,-7.03515625,-6.7734375
6,-2.41015625,-4.40234375,-5.61328125,-5.9296875,-6.91796875,-6.3671875
7,-3.10546875,-5.625,-5.40234375,-5.71484375,-3.390625,-6.078125
8,-2.54296875,-5.3515625,-4.66796875,-6.01171875,-7.02734375,-7.83984375
9,-2.0390625,-5.3828125,-4.8828125,-7.55859375,-6.33203125,-6.39453125
10,-2.564453125,-5.35546875,-3.98828125,-3.345703125,-4.35546875,-3.869140625
11,-2.818359375,-5.09765625,-5.90625,-5.65625,-5.7421875,-5.56640625
12,-2.6015625,-4.4609375,-5.0,-5.2578125,-5.84765625,-7.2109375
13,-2.369140625,-4.16796875,-4.9453125,-4.6875,-4.140625,-6.03515625
14,-2.9296875,-3.814453125,-3.6171875,-4.859375,-5.328125,-6.1875
15,-2.20703125,-5.80859375,-5.71875,-6.5390625,-6.546875,-6.4140625
16,-2.173828125,-3.87109375,-5.8671875,-4.9609375,-5.66015625,-6.4375
17,-2.462890625,-5.5078125,-6.0234375,-4.984375,-6.2578125,-6.125
18,-2.4453125,-3.26953125,-4.83203125,-4.9140625,-5.8125,-6.06640625
19,-2.2890625,-3.46484375,-6.2578125,-6.8125,-7.07421875,-6.859375
