,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo
0,0.2708333333333333,0.1458333333333333,0.3645833333333333
1,0.3229166666666667,0.2604166666666667,0.0
2,0.1770833333333333,0.1666666666666666,0.1875
3,0.28125,0.03125,0.0208333333333333
4,0.1354166666666666,0.2708333333333333,0.0
5,0.2395833333333333,0.4895833333333333,0.1041666666666666
6,0.1770833333333333,0.0520833333333333,0.375
7,0.2708333333333333,0.125,0.0
8,0.25,0.0416666666666666,0.0104166666666666
9,0.3020833333333333,0.0104166666666666,0.0
