,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-8.0625,-6.18359375,-6.234375,-6.52734375,-5.0234375,-6.109375
1,-6.94140625,-5.0,-7.875,-6.98828125,-7.0859375,-7.46875
2,-8.109375,-5.3828125,-6.140625,-6.90234375,-7.04296875,-6.10546875
3,-7.7578125,-5.06640625,-6.39453125,-6.39453125,-6.39453125,-6.5703125
4,-7.1328125,-5.82421875,-6.34765625,-6.34765625,-6.34765625,-6.71875
5,-7.796875,-6.41796875,-6.640625,-7.875,-7.46875,-8.0390625
6,-7.2265625,-6.11328125,-5.53515625,-5.67578125,-5.11328125,-6.60546875
7,-8.171875,-6.28125,-6.83203125,-6.29296875,-5.80859375,-5.703125
8,-8.5,-5.109375,-5.921875,-6.2578125,-6.66015625,-5.78125
9,-8.2109375,-7.58203125,-7.21484375,-5.1875,-6.47265625,-6.734375
10,-7.734375,-6.16796875,-6.35546875,-6.1015625,-6.84765625,-4.703125
11,-7.265625,-5.6171875,-6.23828125,-6.19921875,-6.19921875,-6.52734375
12,-8.2421875,-5.82421875,-4.828125,-6.15625,-6.62109375,-6.484375
13,-7.5234375,-7.26953125,-6.109375,-5.37890625,-5.69921875,-6.828125
14,-8.3984375,-5.08984375,-6.12109375,-7.046875,-6.91015625,-5.66015625
15,-6.8515625,-4.91015625,-5.02734375,-4.890625,-7.40625,-6.875
16,-7.609375,-5.75390625,-5.90234375,-6.875,-6.67578125,-7.0703125
17,-8.5,-5.2890625,-5.8046875,-6.578125,-6.484375,-7.08984375
18,-8.3125,-7.078125,-8.84375,-9.0078125,-8.046875,-8.1015625
19,-6.609375,-7.62109375,-7.07421875,-8.15625,-7.4453125,-6.26953125
