elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
10,10,10,10,20,26,10,10,100,10
11,100,100,100,404,10,100,100,404,100
100,108,4,11,10,404,20,20,10,11
20,20,404,13,100,4,9,6,4,350
3,444,3,20,26,100,11,11,26,443
108,11,9,443,13,6,7,13,200,20
211,7,119,5,269,961,4,5,6,360
13,4,20,7,3,541,404,420,400,983
4,12,11,960,222,20,91,7,269,403
31,13,143,367,263,273,40,9,20,6
