,elephant,dolphin,panda,lion,kangaroo,base
000,1.1005616142509616,0.8480816839985681,1.0973932680399061,0.9773328019165637,0.9777992419094872,1.0
001,0.9400630455060297,0.6209169472132374,0.9373567497840867,0.9391557393416979,1.566006598370663,1.0
002,0.0,0.4967335577705899,1.9996943995393848,1.0017661219644778,1.5033663344358366,1.0
003,0.8356115960053597,1.6557785259019664,0.833205999808077,0.8348051016370648,0.8352035191310203,1.0
004,1.0027339152064316,0.0,0.9998471997696924,1.0017661219644778,2.0044884459144487,1.0
005,0.0,2.4836677888529497,0.833205999808077,1.6696102032741296,0.0,1.0
006,0.0,0.0,2.499617999424231,1.2522076524555974,1.2528052786965305,1.0
007,0.0,2.4836677888529497,0.833205999808077,1.6696102032741296,0.0,1.0
008,0.7162385108617368,0.0,0.714176571264066,1.4310944599492539,2.147666192051195,1.0
009,0.8356115960053597,0.8278892629509832,0.833205999808077,1.6696102032741296,0.8352035191310203,1.0
010,0.0,0.8278892629509832,1.666411999616154,1.6696102032741296,0.8352035191310203,1.0
011,1.2534173940080395,1.2418338944264748,0.0,0.0,2.505610557393061,1.0
012,0.0,1.9869342310823597,1.4997707996545386,0.0,1.5033663344358366,1.0
013,0.8356115960053597,1.6557785259019664,0.833205999808077,0.8348051016370648,0.8352035191310203,1.0
014,0.0,0.0,0.0,0.0,5.011221114786122,1.0
015,0.0,0.0,0.0,0.0,0.0,0.0
016,5.013669576032158,0.0,0.0,0.0,0.0,1.0
017,0.0,1.6557785259019664,0.0,1.6696102032741296,1.6704070382620406,1.0
018,0.0,3.311557051803933,0.0,0.0,1.6704070382620406,1.0
019,1.2534173940080395,0.0,2.499617999424231,1.2522076524555974,0.0,1.0
020,0.0,0.0,4.999235998848462,0.0,0.0,1.0
021,1.6712231920107194,0.0,0.0,1.6696102032741296,1.6704070382620406,1.0
022,0.0,0.0,0.0,0.0,0.0,0.0
023,1.0027339152064316,1.9869342310823597,0.0,1.0017661219644778,1.0022442229572244,1.0
024,2.506834788016079,2.4836677888529497,0.0,0.0,0.0,1.0
025,2.506834788016079,2.4836677888529497,0.0,0.0,0.0,1.0
026,0.0,0.0,0.0,5.00883060982239,0.0,1.0
027,0.0,0.0,0.0,0.0,0.0,0.0
028,0.0,2.4836677888529497,2.499617999424231,0.0,0.0,1.0
029,2.0054678304128633,1.9869342310823597,0.0,0.0,1.0022442229572244,1.0
030,0.0,0.0,2.499617999424231,2.504415304911195,0.0,1.0
031,5.013669576032158,0.0,0.0,0.0,0.0,1.0
032,0.0,1.6557785259019664,0.0,0.0,3.3408140765240812,1.0
033,0.0,0.0,0.0,0.0,5.011221114786122,1.0
034,0.0,0.0,0.0,0.0,0.0,0.0
035,0.0,0.0,0.0,3.005298365893433,2.0044884459144487,1.0
036,0.0,0.0,2.499617999424231,2.504415304911195,0.0,1.0
037,0.0,0.0,0.0,0.0,0.0,0.0
038,1.2534173940080395,1.2418338944264748,1.2498089997121156,0.0,1.2528052786965305,1.0
039,0.0,2.4836677888529497,2.499617999424231,0.0,0.0,1.0
040,0.0,4.967335577705899,0.0,0.0,0.0,1.0
041,3.342446384021439,1.6557785259019664,0.0,0.0,0.0,1.0
042,0.0,4.967335577705899,0.0,0.0,0.0,1.0
043,1.6712231920107194,1.6557785259019664,0.0,1.6696102032741296,0.0,1.0
044,2.506834788016079,0.0,2.499617999424231,0.0,0.0,1.0
045,2.506834788016079,2.4836677888529497,0.0,0.0,0.0,1.0
046,0.0,0.0,0.0,0.0,0.0,0.0
047,0.0,2.4836677888529497,0.0,2.504415304911195,0.0,1.0
048,5.013669576032158,0.0,0.0,0.0,0.0,1.0
049,5.013669576032158,0.0,0.0,0.0,0.0,1.0
050,3.342446384021439,0.0,0.0,1.6696102032741296,0.0,1.0
051,0.0,0.0,1.666411999616154,1.6696102032741296,1.6704070382620406,1.0
052,0.0,0.0,0.0,2.504415304911195,2.505610557393061,1.0
053,0.0,0.0,0.0,0.0,0.0,0.0
054,0.0,0.0,0.0,0.0,0.0,0.0
055,0.0,0.0,0.0,0.0,0.0,0.0
056,0.0,0.0,0.0,0.0,0.0,0.0
057,1.6712231920107194,0.0,0.0,3.339220406548259,0.0,1.0
058,0.0,0.0,0.0,0.0,5.011221114786122,1.0
059,0.0,0.0,0.0,0.0,5.011221114786122,1.0
060,0.0,2.4836677888529497,0.0,2.504415304911195,0.0,1.0
061,0.0,2.4836677888529497,0.0,0.0,2.505610557393061,1.0
062,2.506834788016079,0.0,1.2498089997121156,0.0,1.2528052786965305,1.0
063,0.0,0.0,0.0,0.0,5.011221114786122,1.0
064,0.0,0.0,0.0,5.00883060982239,0.0,1.0
065,0.0,0.0,0.0,5.00883060982239,0.0,1.0
066,0.0,0.0,0.0,0.0,0.0,0.0
067,2.506834788016079,0.0,2.499617999424231,0.0,0.0,1.0
068,0.0,2.4836677888529497,0.0,0.0,2.505610557393061,1.0
069,0.0,4.967335577705899,0.0,0.0,0.0,1.0
070,0.0,0.0,0.0,0.0,0.0,0.0
071,1.6712231920107194,0.0,0.0,1.6696102032741296,1.6704070382620406,1.0
072,0.0,0.0,0.0,1.6696102032741296,3.3408140765240812,1.0
073,0.0,0.0,0.0,0.0,0.0,0.0
074,0.0,0.0,4.999235998848462,0.0,0.0,1.0
