,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
963,-36.0,-38.0,-38.75,-40.5,-37.5,-37.25,-34.75,-40.5,-39.25,-41.25
964,-38.0,-38.5,-40.25,-40.75,-40.75,-39.0,-36.25,-43.5,-40.0,-43.25
965,-37.0,-37.5,-39.5,-40.75,-39.0,-38.0,-35.25,-41.25,-39.75,-42.25
966,-36.0,-37.0,-39.75,-40.75,-37.75,-37.75,-35.0,-40.75,-38.25,-41.75
967,-38.5,-38.75,-40.25,-41.25,-39.75,-38.75,-35.25,-42.75,-40.5,-43.5
968,-36.5,-38.5,-40.25,-42.5,-40.5,-38.75,-36.25,-42.75,-40.0,-42.75
969,-38.75,-40.0,-39.5,-42.75,-39.75,-39.0,-36.75,-43.0,-40.75,-44.0
970,-36.75,-36.5,-39.5,-39.0,-39.75,-38.25,-33.75,-41.5,-40.0,-42.5
971,-36.75,-36.0,-40.0,-39.25,-39.5,-39.0,-34.5,-41.75,-40.5,-42.5
972,-39.0,-40.25,-42.25,-42.25,-41.0,-41.75,-37.25,-44.25,-41.5,-43.5
973,-37.5,-37.25,-39.25,-38.75,-38.0,-38.75,-34.75,-41.5,-40.0,-42.25
974,-37.5,-38.25,-40.0,-40.25,-40.75,-39.25,-36.0,-43.75,-40.0,-43.5
975,-38.5,-38.75,-41.25,-41.25,-41.75,-40.5,-37.5,-43.25,-41.75,-44.0
976,-38.5,-39.5,-41.5,-43.5,-40.5,-39.0,-37.0,-43.75,-40.0,-44.25
977,-37.25,-37.0,-40.0,-39.5,-40.25,-39.5,-34.75,-42.25,-40.5,-42.75
978,-36.75,-37.0,-39.5,-40.25,-40.5,-38.25,-35.25,-41.25,-39.5,-41.25
979,-39.5,-40.25,-41.0,-43.0,-41.5,-40.5,-37.25,-44.5,-41.75,-44.5
980,-35.5,-37.5,-39.5,-39.25,-39.5,-38.25,-35.5,-41.5,-39.25,-41.75
981,-35.5,-37.75,-38.25,-39.75,-38.0,-37.25,-35.25,-41.5,-39.0,-41.5
982,-37.5,-39.0,-40.5,-42.5,-39.0,-39.25,-36.25,-43.5,-39.5,-43.0
983,-35.25,-37.0,-38.0,-39.25,-36.75,-36.75,-34.5,-40.25,-38.5,-39.5
984,-37.75,-38.75,-41.25,-43.0,-40.75,-39.25,-36.5,-44.0,-40.75,-43.25
985,-36.0,-37.25,-38.5,-39.25,-38.75,-37.5,-35.0,-41.0,-39.25,-41.5
986,-36.25,-38.25,-40.25,-42.5,-38.75,-37.75,-36.0,-41.25,-39.0,-42.5
987,-36.5,-37.75,-39.75,-40.25,-39.75,-38.5,-34.75,-41.5,-41.5,-42.25
988,-33.25,-34.25,-37.5,-38.0,-37.0,-35.75,-32.75,-40.25,-36.75,-40.25
989,-37.75,-39.25,-40.0,-43.75,-40.0,-39.0,-34.75,-42.75,-40.75,-43.5
990,-34.5,-37.0,-38.5,-39.25,-38.75,-37.75,-34.25,-40.25,-38.75,-41.25
991,-35.75,-37.75,-40.5,-40.5,-39.5,-39.0,-36.25,-42.25,-40.5,-43.25
992,-37.75,-37.75,-40.75,-42.0,-39.0,-38.75,-36.5,-43.25,-39.75,-44.25
993,-35.5,-37.5,-38.25,-37.75,-39.0,-36.75,-35.25,-41.0,-41.0,-42.0
994,-36.25,-38.25,-38.75,-39.25,-39.75,-37.5,-34.5,-42.5,-38.75,-42.25
995,-37.5,-39.0,-39.75,-39.5,-39.5,-38.75,-35.5,-41.25,-40.5,-43.0
996,-41.0,-41.75,-40.75,-44.25,-40.25,-40.5,-39.25,-42.5,-41.0,-45.75
997,-38.25,-38.75,-40.25,-40.5,-39.75,-39.25,-35.5,-42.5,-40.5,-44.25
998,-39.0,-41.0,-40.5,-44.5,-40.5,-40.0,-39.5,-44.0,-39.5,-44.5
999,-39.5,-41.0,-42.0,-43.25,-41.5,-41.5,-40.5,-44.25,-42.25,-47.0
