elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
990,130,364,165,366,366,165,364,366,130
130,976,130,365,165,917,160,366,363,366
973,973,246,245,130,130,130,244,367,364
133,977,924,243,145,913,145,363,364,240
366,971,367,244,166,915,132,243,362,555
993,974,926,133,133,933,162,249,361,367
933,975,366,130,140,365,168,367,365,363
977,132,925,364,136,916,133,847,369,365
976,140,915,135,148,367,977,362,368,550
974,979,385,145,364,927,140,361,130,595
