,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin
0,0.6354166666666666,0.3802083333333333,0.0677083333333333,0.078125,0.0625,0.1197916666666666
1,0.3177083333333333,0.40625,0.15625,0.1458333333333333,0.1197916666666666,0.1510416666666666
2,0.4322916666666667,0.1979166666666666,0.0364583333333333,0.0677083333333333,0.0833333333333333,0.0833333333333333
3,0.5052083333333334,0.4791666666666667,0.4270833333333333,0.09375,0.1354166666666666,0.2395833333333333
4,0.5364583333333334,0.4270833333333333,0.3385416666666667,0.2135416666666666,0.375,0.25
5,0.4947916666666667,0.1354166666666666,0.1822916666666666,0.0833333333333333,0.1197916666666666,0.0520833333333333
6,0.5416666666666666,0.3125,0.2447916666666666,0.125,0.15625,0.078125
7,0.6302083333333334,0.1822916666666666,0.2135416666666666,0.4010416666666667,0.0572916666666666,0.1354166666666666
8,0.4322916666666667,0.2395833333333333,0.2395833333333333,0.4427083333333333,0.4166666666666667,0.2604166666666667
9,0.5052083333333334,0.1614583333333333,0.125,0.1666666666666666,0.0572916666666666,0.03125
10,0.53125,0.21875,0.3541666666666667,0.0885416666666666,0.1041666666666666,0.1145833333333333
11,0.5677083333333334,0.5572916666666666,0.3697916666666667,0.265625,0.1041666666666666,0.046875
12,0.5416666666666666,0.1354166666666666,0.265625,0.1145833333333333,0.1302083333333333,0.1510416666666666
13,0.5052083333333334,0.3020833333333333,0.2760416666666667,0.1875,0.171875,0.2395833333333333
14,0.484375,0.296875,0.359375,0.421875,0.359375,0.4010416666666667
15,0.3229166666666667,0.1666666666666666,0.2552083333333333,0.125,0.3177083333333333,0.2604166666666667
16,0.578125,0.1875,0.09375,0.0677083333333333,0.1145833333333333,0.0885416666666666
17,0.3802083333333333,0.0989583333333333,0.0677083333333333,0.0989583333333333,0.0260416666666666,0.0260416666666666
18,0.4166666666666667,0.109375,0.296875,0.0885416666666666,0.1041666666666666,0.1822916666666666
19,0.6041666666666666,0.2552083333333333,0.296875,0.3541666666666667,0.046875,0.03125
