,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,0.0989583333333333,0.3229166666666667,0.3177083333333333,0.2604166666666667,0.0052083333333333,0.0052083333333333
1,0.1927083333333333,0.0208333333333333,0.0,0.0,0.0,0.0
2,0.1302083333333333,0.234375,0.1041666666666666,0.0,0.0104166666666666,0.0
3,0.09375,0.28125,0.046875,0.0,0.0,0.0
4,0.109375,0.171875,0.0052083333333333,0.0,0.0,0.0052083333333333
5,0.0677083333333333,0.0364583333333333,0.0,0.0052083333333333,0.0,0.0104166666666666
6,0.0989583333333333,0.21875,0.0572916666666666,0.0104166666666666,0.0,0.0
7,0.0885416666666666,0.0989583333333333,0.0520833333333333,0.1041666666666666,0.0260416666666666,0.0
8,0.1145833333333333,0.0260416666666666,0.0416666666666666,0.0,0.0,0.0
9,0.1979166666666666,0.0625,0.0,0.0,0.0,0.0
10,0.2708333333333333,0.0989583333333333,0.1875,0.0,0.0052083333333333,0.0104166666666666
11,0.1354166666666666,0.0260416666666666,0.0052083333333333,0.0260416666666666,0.0,0.0
12,0.09375,0.203125,0.0104166666666666,0.0052083333333333,0.0,0.0
13,0.1666666666666666,0.03125,0.0,0.0,0.0,0.0052083333333333
14,0.21875,0.109375,0.0,0.0,0.0,0.0052083333333333
15,0.09375,0.2447916666666666,0.0885416666666666,0.1666666666666666,0.1875,0.0104166666666666
16,0.171875,0.1770833333333333,0.265625,0.0104166666666666,0.0,0.0052083333333333
17,0.09375,0.0104166666666666,0.0,0.0,0.0,0.0052083333333333
18,0.0364583333333333,0.0052083333333333,0.0,0.0,0.0,0.0104166666666666
19,0.0833333333333333,0.2604166666666667,0.2604166666666667,0.0,0.0052083333333333,0.0
