,agent0_elephant,agent1_elephant,agent2_elephant
0,0.4166666666666667,0.1458333333333333,0.0625
1,0.1875,0.0208333333333333,0.0104166666666666
2,0.28125,0.4375,0.0625
3,0.21875,0.3958333333333333,0.0
4,0.3333333333333333,0.5416666666666666,0.0208333333333333
5,0.4479166666666667,0.7604166666666666,0.4791666666666667
6,0.5,0.0729166666666666,0.0
7,0.1979166666666666,0.0520833333333333,0.1666666666666666
8,0.09375,0.0520833333333333,0.0625
9,0.1979166666666666,0.1354166666666666,0.010416666666666666
