,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-3.5,-7.390625,-7.8046875,-7.74609375,-7.9765625,-6.97265625
1,-3.216796875,-2.849609375,-2.869140625,-6.05078125,-6.8984375,-7.4375
2,-3.130859375,-3.599609375,-6.67578125,-8.4453125,-8.5703125,-8.7890625
3,-2.669921875,-3.033203125,-3.234375,-5.5546875,-6.3984375,-8.421875
4,-2.89453125,-3.34765625,-6.75390625,-6.203125,-8.1015625,-7.09375
5,-1.9326171875,-2.921875,-5.640625,-5.92578125,-6.42578125,-6.55078125
6,-3.77734375,-4.9453125,-7.046875,-7.1171875,-7.046875,-7.078125
7,-2.03515625,-3.80078125,-6.09765625,-7.3125,-6.87890625,-7.2421875
8,-2.76171875,-2.7890625,-3.369140625,-7.3515625,-7.55859375,-5.94140625
9,-2.982421875,-2.96484375,-3.0390625,-6.43359375,-5.3671875,-4.23828125
10,-1.8076171875,-2.82421875,-3.982421875,-6.05078125,-5.30859375,-6.328125
11,-2.947265625,-6.40625,-7.84765625,-7.359375,-7.67578125,-8.1796875
12,-2.19921875,-6.7890625,-8.6328125,-8.5625,-8.390625,-7.57421875
13,-2.859375,-5.06640625,-6.4375,-6.97265625,-7.078125,-5.90625
14,-3.04296875,-5.66796875,-6.65625,-6.96875,-7.484375,-7.1640625
15,-1.8916015625,-3.54296875,-4.44921875,-6.93359375,-7.859375,-7.9765625
16,-2.0234375,-2.9921875,-5.7578125,-7.21484375,-8.1015625,-8.0546875
17,-2.107421875,-3.658203125,-5.375,-8.0546875,-7.99609375,-10.2109375
18,-3.111328125,-3.876953125,-3.75390625,-4.5234375,-7.39453125,-6.9140625
19,-3.48046875,-3.619140625,-4.5390625,-7.62109375,-6.83984375,-7.7734375
