,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-3.11328125,-7.1015625,-7.8359375,-7.97265625,-8.1171875,-7.9765625
1,-2.576171875,-7.37890625,-7.953125,-8.0703125,-7.8828125,-7.80859375
2,-2.603515625,-7.5,-6.42578125,-7.30859375,-8.171875,-8.109375
3,-2.083984375,-7.0,-6.1640625,-6.03125,-6.71484375,-7.375
4,-3.03125,-5.3515625,-5.67578125,-6.95703125,-6.5859375,-7.66796875
5,-2.134765625,-6.8515625,-7.1796875,-8.1015625,-7.8125,-7.6484375
6,-3.7421875,-7.03515625,-7.7734375,-7.62890625,-8.1796875,-8.3984375
7,-2.96875,-6.3203125,-5.84765625,-6.38671875,-7.69921875,-7.99609375
8,-3.775390625,-6.03515625,-7.35546875,-6.01953125,-7.7421875,-8.140625
9,-3.58203125,-6.05078125,-6.046875,-7.53125,-7.6875,-7.859375
10,-2.71484375,-7.1953125,-7.00390625,-7.96484375,-8.265625,-7.4140625
11,-2.486328125,-6.015625,-7.10546875,-7.19140625,-7.5625,-7.16796875
12,-3.0390625,-7.578125,-6.19140625,-7.63671875,-7.7578125,-6.5703125
13,-2.802734375,-7.3515625,-7.38671875,-6.75390625,-7.44140625,-7.30078125
14,-3.73046875,-6.21875,-6.50390625,-7.29296875,-7.84375,-6.90234375
15,-3.458984375,-7.1328125,-6.9921875,-8.140625,-8.546875,-7.984375
16,-3.470703125,-7.4296875,-6.44921875,-8.2265625,-8.09375,-7.83203125
17,-2.87109375,-6.8203125,-7.26171875,-7.7734375,-7.859375,-7.234375
18,-2.58203125,-5.96875,-7.45703125,-7.89453125,-7.71484375,-7.10546875
19,-2.82421875,-7.3671875,-7.7578125,-7.7578125,-7.84375,-7.42578125
