,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,-1.435546875,-4.37109375,-6.29296875,-6.40625,-7.7578125,-8.015625
1,-0.99951171875,-6.703125,-7.9140625,-7.62890625,-7.84375,-7.44140625
2,-1.4267578125,-1.6376953125,-1.615234375,-2.11328125,-6.8125,-7.05859375
3,-1.025390625,-1.513671875,-2.6015625,-7.39453125,-7.94140625,-8.109375
4,-1.2431640625,-2.14453125,-7.48828125,-7.05078125,-7.7890625,-7.5390625
5,-1.3916015625,-2.865234375,-6.3984375,-7.2109375,-7.1953125,-7.13671875
6,-1.3955078125,-5.37109375,-7.9140625,-8.125,-8.328125,-8.3671875
7,-1.30859375,-3.44140625,-5.26171875,-6.8515625,-7.4296875,-7.24609375
8,-1.533203125,-7.73828125,-8.1015625,-8.1015625,-8.1015625,-8.265625
9,-1.3857421875,-4.01953125,-7.23828125,-7.58203125,-7.4453125,-7.19921875
10,-1.314453125,-3.85546875,-7.47265625,-7.51953125,-7.51953125,-6.97265625
11,-1.1474609375,-2.22265625,-7.2265625,-5.921875,-6.4140625,-7.16796875
12,-1.40234375,-3.65625,-5.94921875,-4.921875,-7.97265625,-8.1015625
13,-1.8251953125,-3.974609375,-6.7265625,-5.53515625,-6.015625,-6.72265625
14,-1.30078125,-1.990234375,-5.73046875,-5.1640625,-6.56640625,-7.0078125
15,-1.5361328125,-7.12890625,-8.53125,-8.984375,-7.6875,-8.5625
16,-1.2392578125,-1.9765625,-7.390625,-6.828125,-5.375,-3.521484375
17,-1.3056640625,-3.3671875,-6.3359375,-7.4453125,-8.1875,-7.375
18,-1.1220703125,-3.76171875,-7.3828125,-7.28125,-7.30859375,-7.3515625
19,-1.14453125,-2.470703125,-1.43359375,-4.32421875,-3.126953125,-4.25390625
