,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-6.35546875,-6.47265625,-5.23828125,-5.8203125,-5.65234375,-6.58203125
1,-6.2265625,-5.5078125,-5.66015625,-6.4375,-6.4140625,-6.640625
2,-6.84765625,-5.4453125,-6.171875,-6.0859375,-6.5546875,-6.7578125
3,-6.2109375,-7.3203125,-6.73046875,-7.0546875,-7.0703125,-6.94140625
4,-6.9296875,-5.62890625,-5.51953125,-5.90625,-6.5546875,-6.70703125
5,-6.4609375,-5.32421875,-5.3515625,-7.140625,-7.44140625,-6.875
6,-6.6484375,-6.43359375,-6.14453125,-5.51953125,-5.48046875,-6.4375
7,-6.59765625,-5.77734375,-5.828125,-6.37109375,-6.35546875,-6.62890625
8,-6.5859375,-5.50390625,-5.41015625,-5.8359375,-6.3046875,-6.46484375
9,-6.63671875,-5.78125,-5.79296875,-6.359375,-5.8359375,-5.546875
10,-6.22265625,-5.3046875,-4.671875,-4.65234375,-4.85546875,-6.0
11,-6.8046875,-6.41796875,-6.5078125,-6.421875,-5.34765625,-6.4921875
12,-6.86328125,-5.55859375,-5.9765625,-6.2578125,-6.48828125,-6.73046875
13,-6.671875,-5.48828125,-5.8828125,-7.24609375,-7.91015625,-7.69921875
14,-8.3984375,-6.08984375,-6.54296875,-7.76953125,-7.6640625,-5.48046875
15,-5.8828125,-5.2734375,-6.890625,-7.2734375,-7.1015625,-6.91796875
16,-5.98828125,-6.12109375,-5.5,-6.26171875,-6.34765625,-6.6953125
17,-5.890625,-5.44140625,-6.3203125,-5.71875,-6.20703125,-6.39453125
18,-6.546875,-5.59765625,-6.74609375,-7.1328125,-7.44140625,-8.0703125
19,-6.515625,-6.8046875,-6.58203125,-7.01953125,-7.06640625,-6.90625
