model,cot_minus_prompt_top10_mean_mean,cot_minus_prompt_top10_mean_std,cot_minus_prompt_best_mean,cot_minus_prompt_best_std
llama,-1.0596039133549155,1.6909032206885413,-1.2069200488201386,1.4391250033227871
qwen,-0.9107684593915333,0.9093085140220789,-1.4590383165301102,1.4157027505983328
